BICAN label,BICAN UUID,Aliases,Code,Description,Ontology ID
aar,78787899-371b-4a3b-b142-88d8336f8e06,,,Afar,
abk,780ff3b4-82c4-453d-a5b5-84b84105fd04,,,Abkhazian,
ace,486fd804-786f-4ba1-8fe3-7c6c6c338cef,,,Achinese,
ach,7ce5d5b5-78f6-4293-9029-9c062fdf1589,,,Acoli,
ada,7ac30736-6c7d-46b8-b796-2d6f7b1efaf3,,,Adangme,
ady,77d6d369-1244-42be-8148-3463bc9b29e5,,,Adyghe; Adygei,
afa,810b8528-28fa-4474-a59d-7efad1d96e0e,,,Afro-Asiatic languages,
afh,9f19a5e3-8191-42bf-bc9f-083606dee107,,,Afrihili,
afr,67ae2556-8bef-4702-9059-16ecc9b16bd0,,,Afrikaans,
ain,7c1be3bc-706a-489d-af77-df1483cacd17,,,Ainu,
aka,39d0608b-c476-46da-8cd5-7e1116c20161,,,Akan,
akk,d88a434b-6623-47e2-98e5-64a8695bceb6,,,Akkadian,
alb (B),34d9f01c-b92e-4ac4-80a4-f9751c452ad2,,,Albanian,
sqi (T),a202e578-1ced-44e8-aee4-c043c74659b1,,,,
ale,135495ab-1336-491f-a746-c64cad44a69a,,,Aleut,
alg,1e3aa835-3b98-4fbb-8d33-88d9f4c5e7b2,,,Algonquian languages,
alt,a95868c6-0f8d-49eb-8573-ecf4f8948bd3,,,Southern Altai,
amh,07fca9c8-7c8d-4a2f-9585-dcc03127943f,,,Amharic,
ang,addf244f-0956-4d40-a25e-7e659bc98104,,,"English, Old (ca.450-1100)",
anp,e1594098-39cf-461f-8905-24675a5562a1,,,Angika,
apa,b923013e-e632-410b-9ef7-e464e6aaf360,,,Apache languages,
ara,3cfd1458-74bf-4013-ae31-c044ba65663b,,,Arabic,
arc,742bc82f-fac2-40b1-9bca-242888ac1cce,,,Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE),
arg,298478a5-60e5-4b4e-8c84-481550b9bfe9,,,Aragonese,
arm (B),092b988f-1b05-4622-888e-9d2eef520823,,,Armenian,
hye (T),53e43bbd-416e-459c-bc72-80306d1f18b5,,,,
arn,03816ec8-ceed-469a-9ecc-359bf58a1bb1,,,Mapudungun; Mapuche,
arp,2ffd6f5c-eb4c-46bd-8e95-2de7d507fdaa,,,Arapaho,
art,393e08d0-2d0f-403d-a801-58589c4d8406,,,Artificial languages,
arw,49f2a50c-1538-419f-88b6-c67f38354251,,,Arawak,
asm,00b53bdc-51b1-49ce-888f-fed09c84e87a,,,Assamese,
ast,6faf5a43-2f02-425c-a74c-f606878df36e,,,Asturian; Bable; Leonese; Asturleonese,
ath,1e69bc9a-c5a6-4d45-938f-997e7a845bf2,,,Athapascan languages,
aus,e27e4f48-d194-4719-bb00-ba15a4f9d12f,,,Australian languages,
ava,5b2ff1a5-4c7c-45a0-9d1a-3111b91eeadd,,,Avaric,
ave,8a23f476-c38b-4465-af75-c699910caf61,,,Avestan,
awa,b6b23acf-33a3-454c-92fd-9e8c8c3b4aa5,,,Awadhi,
aym,6e8a7af6-6682-4618-8212-35527f441651,,,Aymara,
aze,a150b53a-ccaf-4a19-af36-1f287cf69d72,,,Azerbaijani,
bad,52a11d13-1ef5-4cc2-b257-40f342343ca8,,,Banda languages,
bai,ec004ba2-dc80-458e-be64-18d1ee8288ec,,,Bamileke languages,
bak,f1ea90ee-651c-4270-80a3-da65fe91101b,,,Bashkir,
bal,ce345bf3-4b02-4570-b1f8-3b5a28f99005,,,Baluchi,
bam,dda427f7-cb68-4757-9357-8445149ba847,,,Bambara,
ban,3c936049-5c1f-4010-970c-0ec2367c6cad,,,Balinese,
baq (B),642ac599-f056-4d9c-876e-a68e2615ea08,,,Basque,
eus (T),1e3725fd-916e-4110-86b1-458100b46f76,,,,
bas,acb0cd6e-92f2-4259-b19a-1cb0da90ec64,,,Basa,
bat,8e5795bc-d6d0-4b5b-934a-e102b9f12b2f,,,Baltic languages,
bej,05eee4c4-b384-4410-ad6a-6bc04a22be55,,,Beja; Bedawiyet,
bel,197c5038-5c7b-4a32-9a42-753ab159b57e,,,Belarusian,
bem,4699b272-a150-4bb6-b32e-c35ce0206453,,,Bemba,
ben,0ea20bab-57c8-4bb5-8c6c-6576b80a2366,,,Bengali,
ber,31db3288-92c8-45ce-8b5d-f2ccd877fc92,,,Berber languages,
bho,c72c7b07-0651-4887-87a7-3eeef1a181cb,,,Bhojpuri,
bih,cc7a4fbe-527f-4758-a0b1-dbc6fb9d89e6,,,Bihari languages,
bik,87cb06e2-c3ea-47e2-a291-4172f21176a3,,,Bikol,
bin,3f38cb85-bc1c-407e-9cc6-59b4b03e1dcc,,,Bini; Edo,
bis,a2a465f0-4c6a-4284-86a1-49c949cdb4fe,,,Bislama,
bla,da9d3505-0b25-4672-9ad0-d8ad288c1def,,,Siksika,
bnt,15915fec-5e5b-457b-93d4-f2ccb12f7fce,,,Bantu languages,
tib (B),1638d1ea-d2e7-45ab-853e-0aed3e2ffbe2,,,Tibetan,
bod (T),e060ad2c-ba11-4de3-a99f-9be98a5dabe3,,,,
bos,ceef8c27-1bec-4f39-a63c-d236af4a60cd,,,Bosnian,
bra,f4683e7c-26a8-46b0-b70e-cdbfd0b3d20f,,,Braj,
bre,37598f12-b2de-427e-8185-bbc405003ae0,,,Breton,
btk,f17e4244-4a57-4c42-9180-4ced937b4843,,,Batak languages,
bua,de3f96ba-b40d-46cf-ba08-4500ace04f01,,,Buriat,
bug,a1500683-73f9-4b73-9cad-5f78d6e30475,,,Buginese,
bul,debe8327-7991-49cb-af1b-3c3470ac2a11,,,Bulgarian,
bur (B),4a7f9c65-a030-42eb-97f2-4f9dbf21e614,,,Burmese,
mya (T),aa94fce0-0672-435a-b57b-a158777d4956,,,,
byn,cf05e4f3-3dc7-4e5d-9147-05a30277dfda,,,Blin; Bilin,
cad,f450dff4-69ef-443e-86fd-e131c89fedd5,,,Caddo,
cai,8a76ce94-a230-4951-b4b0-1e7aa82b1a52,,,Central American Indian languages,
car,76da0581-ba7a-4893-8e2d-5c973a448ab1,,,Galibi Carib,
cat,2cc60649-a129-4e8b-8324-b9bc93b556c4,,,Catalan; Valencian,
cau,59f64dcd-a6e2-4437-a916-9ecf0029ef9f,,,Caucasian languages,
ceb,9c3af940-72dc-4e91-84e9-a63f49f7ba23,,,Cebuano,
cel,91424b9e-c3fe-4e86-8f21-9faf2c5c7c7c,,,Celtic languages,
cze (B),85ee9be0-0f16-46a5-9ada-eb7e5a88471d,,,Czech,
ces (T),f0591c5e-04ec-46ae-af77-60ff085e2845,,,,
cha,34e5aeeb-efef-4696-b8a7-c12db128ca30,,,Chamorro,
chb,7615ac8e-6ff7-42dd-8c37-97eade8a1d2d,,,Chibcha,
che,3daff904-0ad5-4b66-b6aa-5037130d1ee9,,,Chechen,
chg,182e8667-ba05-4311-a3c6-47990e66da88,,,Chagatai,
chi (B),6eb7a20f-8618-4dd7-a924-675e9a5215f0,,,Chinese,
zho (T),2c7b5dee-b0ff-46f7-ae7c-b9f4ad48ec24,,,,
chk,4b7355e5-0374-4ec5-b208-dceaea3931cc,,,Chuukese,
chm,72aeaceb-8f76-469c-9346-2ac1e7fed031,,,Mari,
chn,3a41d909-12f6-4f41-80da-ccd448f50a1b,,,Chinook jargon,
cho,0210f6aa-0681-40b4-9338-c2d5c5eb1cc1,,,Choctaw,
chp,ff27c91c-764e-4d8f-a2de-6470669564d7,,,Chipewyan; Dene Suline,
chr,bef6f2f4-d725-4dc2-b61a-7f64fac2f1a6,,,Cherokee,
chu,7a2e37ca-0df2-4965-ad48-3659f215ae87,,,Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic,
chv,1526e9e5-5836-4aac-817b-94c2ba99289a,,,Chuvash,
chy,06b73c6c-2392-483f-8e06-c9ddc1f9d4f9,,,Cheyenne,
cmc,d216704e-fd3c-47cf-9162-44777e485a40,,,Chamic languages,
cnr,5312f6d1-6949-4002-ad52-0613049620a7,,,Montenegrin,
cop,0ca6394c-8b63-4d4c-8cab-c5ebd335a77a,,,Coptic,
cor,6d62a99d-7c26-48b9-93f7-6237046dfe9b,,,Cornish,
cos,54a585a8-559c-4b31-938c-a3190ce5f0d7,,,Corsican,
cpe,a362cf75-7ea6-486f-b6b0-2819241448da,,,"Creoles and pidgins, English based",
cpf,6694f1de-1bec-4fea-ad2b-89f05f776676,,,"Creoles and pidgins, French-based",
cpp,f0791192-e521-41cf-83f7-8a6dcf67b136,,,"Creoles and pidgins, Portuguese-based",
cre,32caf39e-56fd-4e53-a77f-8efe04dc2f46,,,Cree,
crh,277db374-de54-4c10-b6e2-9835d6311fe3,,,Crimean Tatar; Crimean Turkish,
crp,0809e7b5-8d08-49cc-bc3e-2922276edcee,,,Creoles and pidgins,
csb,b3876fce-f233-4f07-aa0c-f6f66708e9e1,,,Kashubian,
cus,9ce14e2b-d7eb-4e05-ac4c-f63816776274,,,Cushitic languages,
wel (B),076841b8-1d4c-49f3-9070-8b506ea27624,,,Welsh,
cym (T),b8967c36-3421-460e-adb3-e353892859b1,,,,
cze (B),512c3e1a-6f5e-4874-b2e0-6271b9dbfd8a,,,Czech,
ces (T),5c6453fa-98a7-4eba-b9ce-6c61482538f8,,,,
