BICAN Field Name,BICAN UUID,Aliases,Definition,Dev. Human,Dev. NHP,Dev. Tissue,Donor,Library,Macaque Donor and Tissue,Marmoset,Donor-to-Alignment
local donor ID,f8af20f7-e8b8-47b5-8a68-9ec1f913ffdf,subject_id,An identifier that uniquely denotes objects only within the scope of a specific object aggregate and that is not registered in an identifier registry. [Allotrope],x,x,x,x,,x,x,
repository,408682ed-0e27-41e2-b9fa-f05674366d6e,repository,"Repository' trailing modifier (qualifier, 'repository') of 'xref' links of 'Format' concepts. When 'true', the link is pointing to the public source-code repository where the given data format is developed or maintained. [EDAM]",x,x,,x,,x,,
donor source,0d0cf732-0f76-409d-9a73-7a96d829d3d3,donor_source,The origin of the donor/subject in this experiment.,x,x,,x,,x,x,
ethnicity,918370df-49f6-4361-9c52-f46b16412980,ethnicity,"Population category defined in terms of cultural, religious, tribal or other social similarities. [EFO]",x,,,x,,,,
race,e515c009-550e-4f9c-b1b6-fc876a6fb2a8,race,"An arbitrary classification of a taxonomic group that is a division of a species. It usually arises as a consequence of geographical isolation within a species and is characterized by shared heredity, physical attributes and behavior, and in the case of humans, by common history, nationality, or geographic distribution. [ExO]",x,,,x,,,,
sex at birth,c819b9d5-2fde-40b2-bf0d-e07b56f96ac9,sex,An organismal quality inhering in a bearer by virtue of the bearer's ability to undergo sexual reproduction in order to differentiate the individuals or types involved. [PATO],x,x,,x,,x,x,
gender,1c71e775-65aa-442b-a392-1cf9a44e326e,gender,"Identification as male/masculine, female/feminine or something else, and association with a (social) role or set of behavioral and cultural traits, clothing, etc; a category to which a person belongs on this basis. Gender is the result of a complex combination of gender role, gender expression, gender identity, and gender modality. Do not use this term for non-human animals. [NCIT]",x,,,x,,,,
sex orientation,e47e8a2f-72fb-4036-b288-f4580dc2aa4e,sex_orientation,"The pattern of a person's emotional, romantic, and/or sexual attractions. [NCIT]",x,,,x,,,,
age value (years),14eb923a-161d-45e2-889d-81fea7b632b6,age_of_death,A time quality inhering in a bearer by virtue of how long the bearer has existed. [PATO],x,x,,x,,x,x,
birth country name,9c27fd29-b512-492f-a32f-b615c7585ff7,birth_country_name,The name of the country where a subject was born. [NCIT],x,,,x,,,,
primary language,abe9edc7-96ca-4c6a-a1ed-c008548cc373,primary_language,"The alphanumeric code from the ISO 639 standard which denotes the primary lanugage of a subject. The ISO 639 standard includes a two letter representation and a three letter representation. [NCIT, modified]",x,,,x,,,,
secondary language,37b7495f-b010-4d1c-ae32-9cb19c680950,secondary_language,"The alphanumeric code from the ISO 639 standard which denotes the secondary lanugage of a subject. The ISO 639 standard includes a two letter representation and a three letter representation. [NCIT, modified]",x,,,x,,,,
autopsy report,3f787b64-0985-4d0f-9523-54475164b7ad,autopsy_report,"A document assembled by an author for the purpose of providing information regarding the cause of death of a subject for the audience. [IAO, modified]",x,,,x,,x,,
cause of death,fa970a03-41ea-473b-a8ce-427fec92cdff,cause_of_death,The circumstance or condition that results in the death of a living being. [NCIT],x,,,x,,x,,
