ontology ID,label,alternative term,definition,definition source
ID,A rdfs:label,A alternative term SPLIT=|,A definition SPLIT=|,A definition source SPLIT=|
OBI:0003376,droplet-based single-cell RNA sequencing assay,Dropseq|Drop-seq,"A sequencing assay that analyzes mRNA transcripts from droplets of individual cells. The droplets are compartmentalized via a microfluidic device. After the cells are compartmentalized, cells in droplets are lysed and the released mRNA hybridizes to the oligo(dT) tract of the primer beads. Then the droplets are pooled and broken to release the beads which are then isolated and reverse-transcribed with template switching. The resulting cDNA strands are PCR-amplified and the sequencing adapters are added. The barcoded mRNA samples are then sequenced.",url:https://doi.org/10.1016/j.cell.2015.05.002

OBI:0003094,fluorescence in-situ hybridization assay,FISH,An in-situ hybridization assay in which fluorescently labeled molecules are used to localize specific DNA or RNA sequences.,url:https://en.wikipedia.org/wiki/Fluorescence_in_situ_hybridization
,fluorescence micro-optical sectioning tomography assay,fMOST,An imaging assay that uses micro-optical sectioning tomography technology combined with fluorescence molecular labeling of neuronal projections.,url:http://www.ncbi.nlm.nih.gov/pmc/articles/PMC6701528/
,multiplexed error-robust fluorescence in situ hybridization assay,MERFISH,An imaging assay that measures the copy number and spatial distribution of hundreds to thousands of RNA species in single cells.,DOI: 10.1126/science.aaa6090
OBI:0003124,neuron morphology assay,,A 3D neural cell structure determination assay that determines the 3-dimensional configuration of a neuron.,Patrick Ray
OBI:0003125,mosaicism with repeat frameshift genetic sparse labeling,MORF genetic sparse labeling,A 3D neural cell structure determination assay where sparse and stochastic methods are used to label genetically-defined neurons.,https://doi.org/10.1016/j.neuron.2020.07.019|https://biccn.org/teams/u01-yang
,serial two-photon tomography assay,STPT,A fluorescence microscopy that generates high-throughput flourescence imaging of mouse brains by integrating two-photon microscopy and tissue sectioning. Serial two-photon tomography generates high-resolution datasets.,url:http://doi.org/10.1038/nmeth.1854
,mouselight assay,MouseLight|mouselight,A serial two photon tomography assay that produces images of mouse brains with sufficient detail to represent axons of individual neurons.,url:http://www.janelia.org/project-team/mouselight/research

