Proposed BICAN Field Name,BICAN UUID,Aliases,LinkML Class,Definition,Nullable,Permissible Values,Data Type,Data Example,Min Value,Max Value,Unit,Statistical Variable Type,Subsets,Version Date
labelset,,,,The unique name of the set of cell annotations. Each cell within the AnnData/Seurat file MUST be associated with a 'cell_label' value in order for this to be a valid 'cellannotation_setname'.,FALSE,,string,,,,,,,
cell_label,,,,"This denotes any free-text term which the author uses to annotate cells, i.e. the preferred cell label name used by the author. Abbreviations are exceptable in this field; refer to 'cell_fullname' for related details. Certain key words have been reserved:- 'doublets' is reserved for encoding cells defined as doublets based on some computational analysis- 'junk' is reserved for encoding cells that failed sequencing for some reason, e.g. few genes detected, high fraction of mitochondrial reads- 'unknown' is explicitly reserved for unknown or 'author does not know'- 'NA' is incomplete, i.e. no cell annotation was provided.",FALSE,,string,,,,,,,
cell_fullname,,,,"This MUST be the full-length name for the biological entity listed in cell_label by the author. (If the value in cell_label is the full-length term, this field will contain the same value.) NOTE: any reserved word used in the field 'cell_label' MUST match the value of this field.",TRUE,,string,"EXAMPLE 1: Given the matching terms 'LC' and 'luminal cell' used to annotate the same cell(s), then users could use either terms as values in the field 'cell_label'. However, the abbreviation 'LC' CANNOT be provided in the field 'cell_fullname'. EXAMPLE 2: Either the abbreviation 'AC' or the full-length term intended by the author 'GABAergic amacrine cell' MAY be placed in the field 'cell_label', but as full-length term naming this biological entity, 'GABAergic amacrine cell' MUST be placed in the field 'cell_fullname'.",,,,,,
cell_ontology_term_id,,,,"This MUST be a term from either the Cell Ontology (https://www.ebi.ac.uk/ols/ontologies/cl) or from some ontology that extends it by classifying cell types under terms from the Cell Ontologye.g. the Provisional Cell Ontology (https://www.ebi.ac.uk/ols/ontologies/pcl) or the Drosophila Anatomy Ontology (DAO) (https://www.ebi.ac.uk/ols4/ontologies/fbbt). NOTE: The closest available ontology term matching the value within the field 'cell_label' (at the time of publication) MUST be used.For example, if the value of 'cell_label' is 'relay interneuron', but this entity does not yet exist in the ontology, users must choose the closest available term in the CL ontology. In this case, it's the broader term 'interneuron' i.e. https://www.ebi.ac.uk/ols/ontologies/cl/terms?obo_id=CL:0000099.",TRUE,,string,,,,,,,
cell_ontology_term,,,,This MUST be the human-readable name assigned to the value of 'cell_ontology_term_id'.,TRUE,,string,,,,,,,
cell_ids,,,,List of cell barcode sequences/UUIDs used to uniquely identify the cells within the AnnData/Seurat matrix. Any and all cell barcode sequences/UUIDs MUST be included in the AnnData/Seurat matrix.,TRUE,,list,,,,,,,
rationale,,,,"The free-text rationale which users provide as justification/evidence for their cell annotations. Researchers are encouraged to use this field to cite relevant publications in-line using standard academic citations of the form (Zheng et al., 2020) This human-readable free-text MUST be encoded as a single string.All references cited SHOULD be listed using DOIs under rationale_dois. There MUST be a 2000-character limit.",TRUE,,string,,,,,,,
rationale_dois,,,,A list of valid publication DOIs cited by the author to support or provide justification/evidence/context for 'cell_label'.,TRUE,,list,,,,,,,
marker_gene_evidence,,,,List of names of genes whose expression in the cells being annotated is explicitly used as evidence for this cell annotation. Each gene MUST be included in the matrix of the AnnData/Seurat file.,TRUE,,list,,,,,,,
synonyms,,,,"This field denotes any free-text term of a biological entity which the author associates as synonymous with the biological entity listed in the field 'cell_label'.In the case whereby no synonyms exist, the authors MAY leave this as blank, which is encoded as 'NA'. However, this field is NOT OPTIONAL.",TRUE,,list,,,,,,,
reviews,,,,,,,list,,,,,,,
datestamp,,,,Time and date review was last edited.,FALSE,,"string, format: date-time",,,,,,,
reviewer,,,,Review author.,,,string,,,,,,,
review,,,,"Reviewer's verdict on the annotation. Must be 'Agree' or 'Disagree'. Must be one of: [""Agree"", ""Disagree""].",,"agree, disagree",value set,,,,,,,
explanation,,,,Free-text review of annotation. This is required if the verdict is disagree and should include reasons for disagreement.,TRUE,,string,,,,,,,
author_annotation_fields,,,,A dictionary of author defined key value pairs annotating the cell set. The names and aims of these fields MUST not clash with official annotation fields.,,,object,,,,,,,
cell_set_accession,,,,"An identifier that can be used to consistently refer to the set of cells being annotated, even if the cell_label changes.",,,string,,,,,,,
parent_cell_set_accession,,,,"A list of accessions of cell sets that subsume this cell set. This can be used to compose hierarchies of annotated cell sets, built from a fixed set of clusters.",,,string,,,,,,,
transferred_annotations,,,,,,,list,,,,,,,
transferred_cell_label,,,,Transferred cell label.,,,string,,,,,,,
source_taxonomy,,,,PURL of source taxonomy.,,,string,,,,,,,
source_node_accession,,,,accession of node that label was transferred from.,,,string,,,,,,,
algorithm_name,,,,,,,string,,,,,,,
comment,,,,Free text comment on annotation transfer.,,,string,,,,,,,
cells,,,,By convention this is only used for annotation transfer labelsets. It MUST not be combined with the 'cell_ids' field.,,,list,,,,,,,
cell_id,,,,Identifier for a single cell.,FALSE,,string,,,,,,,
confidence,,,,Normalized confidence score.,,,number,,,,,,,
author_categories,,,,,,,list,,,,,,,
negative_marker_gene_evidence,,,,"List of names of genes, the absence of expression of which is explicitly used as evidence for this cell annotation. Each gene MUST be included in the matrix of the AnnData/Seurat file.",,,list,,,,,,,
