Proposed BICAN Field Name,BICAN UUID,Aliases,LinkML Class,Definition,Nullable,Permissible Values,Data Type,Data Example,Min Value,Max Value,Unit,Statistical Variable Type,Subsets,Version Date
feature_matrix_label,,,,ID of the associated feature matrix where the data is stored (if not included in this file). Used in BKP when data is found elsewhere for connected cell to data file.,,,,,,,,,"assigned metadata, calculated metadata, annotations",
dataset_label,,,,Link between each cell and each dataset in BKP. Need clarification on how this differs from feature_matrix_label; for CAS this is a taxonomy-level variable in uns called dataset_url.,,,,,,,,,"assigned metadata, calculated metadata, annotations",
[COLUMN_NAME]_color,,,,"Color vector for metadata/taxonomy values in format [COLUMN_NAME]_label. This is ONLY used for molgen-shiny plots, but because of this, some metadata files come with these and some don't and that could cause challenges. Should revisit how to store colors and how to deal with metadata in both formats. Should also agree on a standard for which way is preferred.",,,,,,,,,"assigned metadata, calculated metadata, annotations",
[COLUMN_NAME]_id,,,,"Same as above, but in this case for the order of metadata values (e.g., the levels of a factor, or ascending order of a numeric)",,,,,,,,,"assigned metadata, calculated metadata, annotations",
cluster,,,,"This is the CRITICAL column used for cluster annotations. It is the baseline for the majority of cell_annotation columns discussed below. Sometimes called cluster_label : [""Annotations""] : There is also an additional cluster_alias column used in mouse whole brain data and for BKP that I'm not sure how to wrap in. It's also used for cirrocumulus. Some discussion might be needed on whether this is one or more columns, and which one is the source of truth. It's also worth noting that this is a prerequisite for annotations, so maybe it better fits in a different category (analysis?).",,,,,,,,,annotations,
[additional uncontrolled metadata],,,,"Additional uncontrolled cell metadata. These are not required, but any additional columns are allowed by all h5ad formats.",,,,,,,,,annotations,
marker_genes_[…],,,,"A set of logical vectors (T/F) indicating which genes are markers used to build dendrogram, or for other purposes. The [...] part of the name links to additional metadata in the uns. This needs to be UPDATED in AIT to allow multiple marker gene sets; markers currently stored differently in CAP.",,,,,,,,,"annotations, analysis",
dend,,,,"A json formatted dendrogram used for tree mapping. Created by scrattch.taxonomy if not provided. Sometimes used for taxonomy annotation, but we are moving away from it with larger taxonomies and so this may now make more sense in the ""analysis"" category.",,,,,,,,,"annotations, analysis",
labelsets,,,,"CRITICAL extra component; Equilalent to Cluster annotation term set in BKP. This is saved as a data frame representation (or is a list of data frames needed?), with some information about each [cellannotation_set] set of columns (e.g., subclass, class, neurotransmitter, etc.). Specifically: ""name"", ""description"", and ""rank"" (0 most specific) and some information about provenance are needed for each labelset.",,,,,,,,,annotations,
cell_set_relationships,,,,"NEW proposed mechanism for dealing with sibling relationships for things like gradients, trajectories, constellation diagrams, etc.. This is stored as a data frame (table) of all relations with five columns: cells_set_accession1, cell_set_accession2, relation_label, value, direction. Could alternatively be stored as a JSON representation that unpacks into a dataframe.",,,,,,,,,annotations,
filter,,,,"Indicator of which cells to use for a given child taxonomy (subset), saved as a list of vectors. Each entree in this list is named for the relevant ""mode"" and has TRUE/FALSE calls indicating whether a cell is filtered out (e.g., the ""standard"" taxonony is all FALSE). This is critical for how child taxonomies are defined and implemented in scrattch.taxonomy but differs from how taxonomies are stored in all other schemas--some discussion may be needed.",,,,,,,,,annotations,
title,,,,"Taxonomy name (e.g., ""AIT30""); called title in cellxgene, not sure about other schema. Called Taxonomy short name in taxonomy Google Sheet.",,,,,,,,,annotations,
taxonomy_id,,,,"Taxonomy ID in CCN format (e.g., ""CCN030420240""); TBD how this is generated, but MUST be globally unique. Also used as part of PURL (I think). Called Taxonomy ID in taxonomy Google Sheet too.",,,,,,,,,annotations,
description,,,,"Free text description of the taxonomy (or of the dataset on CAP). This is also something we are adding as a requirement for the BKP, and I think should be required for all taxonomies. Called Description in taxonomy Google Sheet.",,,,,,,,,annotations,
taxonomy_citation,,,,"""|""-separated publication DOI's of the taxonomy (e.g., ""doi:10.1038/s41586-018-0654-5""). Called Publication in taxonomy Google Sheet.",,,,,,,,,annotations,
marker_gene_metadata,,,,"Data frame of Marker genes x dims that includes metadata for marker gene sets in var above; NEW and required if marker_genes_[…] is provided. At minimum a name (matching above) and description are needed, but potentially other things (e.g., what is it for, with controlled vocabulary).",,,,,,,,,annotations,
transferred_annotations_metadata,,,,"Data frame of info about each transferred annotation column: source_taxonomy, algorithm_name, comment; Still some work on the best way to code this, but it is important. Linked to data in var above. This is for taxonomy-level metadata. This is also already encoded in TDT--how?",,,,,,,,,annotations,
taxonomyDir,,,,"Location of the h5ad file; we might be able to remove this, since it is redundant with dataset_url and/or matrix_file_id. Called Taxonomy file location in taxonomy Google Sheet.",,,,,,,,,annotations,
dataset_url,,,,"PURL of taxonomy; Possibly a redundant field, but critical; also publication_url and cellannotation_url (unclear how different)",,,,,,,,,"annotations, tooling",
matrix_file_id,,,,Like dataset_url; e.g. CellXGene_dataset:8e10f1c4-8e98-41e5-b65f-8cd89a887122; Note: needs to be extended to allow for more than one file and connected to feature_matrix_label in obs. We need this field!,,,,,,,,,"annotations, tooling",
author_list,,,,"List of all collaborators, comma separated [First] [Last]; Useful in general, even though currently only required by CAP. Called Taxonomy Users in taxonomy Google Sheet.",,,,,,,,,"annotations, tooling",
author_name,,,,"The primary author [First Name] [Last Name]; in CCN was called ""taxonomy_author""; In CCN also seperated by cell_set with ""cell_set_alias_assignee""; Called Point person name in taxonomy Google Sheet.",,,,,,,,,annotations,
author_contact,,,,Valid email address; Called Point person email in taxonomy Google Sheet.,,,,,,,,,annotations,
orcid,,,,Valid ORCID; Called Point person ORCID in taxonomy Google Sheet.,,,,,,,,,annotations,
annotation_source,,,,Additional metadata about annotation algorithm; Similar to taxonomy algorithm info stored for CCN,,,,,,,,,annotations,
