Proposed BICAN Field Name,BICAN UUID,Aliases,LinkML Class,Definition,Nullable,Permissible Values,Data Type,Data Example,Min Value,Max Value,Unit,Statistical Variable Type,Subsets,Version Date
matrix_file_id,5d625688-96da-4c65-97b9-211cbcad4aea,,,The ID of a matrix file. This is like dataset_url; e.g. `CellXGene_dataset:8e10f1c4-8e98-41e5-b65f-8cd89a887122`. ,,,,,,,,,"annotations, tooling",
dataset_title,5aab17df-0830-44d4-bcd8-f954695867d0,,,The title of the dataset. This MUST be less than or equal to 200 characters. e.g. 'Human retina cell atlas - retinal ganglion cells'.,FALSE,,string,'Human retina cell atlas - retinal ganglion cells',,,,,,
dataset_description,1b5ff66c-0e00-4a29-8ccf-65dbf59d79da,description,,"The description of the dataset. e.g. 'A total of 15 retinal ganglion cell clusters were identified from over 99K retinal ganglion cell nuclei in the current atlas. Utilizing previous characterized markers from macaque, 5 clusters can be annotated.'.",,,string,"'A total of 15 retinal ganglion cell clusters were identified from over 99K retinal ganglion cell nuclei in the current atlas. Utilizing previous characterized markers from macaque, 5 clusters can be annotated.'",,,,,,
cellannotation_schema_version,195cbdbf-d486-4d54-9c1d-83edf0a44ec5,,,"The version of the Cell Annotation Schema (CAS) used, formatted as '[MAJOR].[MINOR].[PATCH]'. This is used to track the version of the schema used for cell annotations.",,,,,,,,,tooling,
cellannotation_timestamp,37da06ba-9c15-405f-b5d6-f8d2bf5fc3a3,,,"Timestamp when published: %yyyy-%mm-%dd %hh:%mm:%ss; Useful in general, though currently only required by CAP. This also could be the same as `development_date`.",,,,,,,,,tooling,
cellannotation_version,439f52e8-e2e6-406c-850c-434d448c8b6d,,,The CAP taxonomy annotation version; required by CAP.,,,,,,,,,tooling,
cellannotation_url,e47029df-a5cf-49d0-b8de-76302a1e6fbb,,,A persistent URL of all cell annotations published (per dataset).,,,string,,,,,,,
author_list,15e4be61-b1fb-49a5-9a81-7fed61138256,taxonomy users,,"A list of all collaborators, comma separated [First] [Last]. Called `Taxonomy Users` in taxonomy Google Sheet.",,,,,,,,,"annotations, tooling",
author_name,0ea83cdb-cd06-4ef8-84c1-6aec29220759,"taxonomy author, point person name",,"The primary author [First Name] [Last Name] of the taxonomy. In CCN was called `taxonomy_author`. In CCN it is also seperated by `cell_set` with ""cell_set_alias_assignee"". This is called `Point person name` in taxonomy Google Sheet.",,,,,,,,,annotations,
author_contact,fa084043-3c8e-47cb-959e-2f3daf2165ec,point person email,,A valid email address of the primary author of a taxonomy. This is called `Point person email` in taxonomy Google Sheet.,,,,,,,,,annotations,
orcid,2c96776b-b158-4e0c-ba67-ea7a63efb1e8,point person ORCID,,A valid ORCID of the primary author of the taxonomy. This is called `Point person ORCID` in taxonomy Google Sheet.,,,,,,,,,annotations,
labelsets,7fa0b7a1-6af7-4f79-8da0-29d7950ea736,,,"A data frame representation that contains information about each `cellannotation_set` set of columns (e.g., subclass, class, neurotransmitter, etc.). Specifically: `name`, `description`, and `rank` (0 most specific) and some information about provenance needed for each labelset. This is equilalent to `Cluster annotation term set` in BKP. ",,,,,,,,,annotations,
annotations,46e6ec2f-6baf-4df9-bfbd-36463694be93,,,A list of the annotations.,FALSE,,array,,,,,,,
