Proposed BICAN Field Name,BICAN UUID,Aliases,LinkML Class,Definition,Nullable,Permissible Values,Data Type,Data Example,Min Value,Max Value,Unit,Statistical Variable Type,Subsets,Version Date
cell_id,34ca0703-429f-4920-8a08-dd4c61b29444,,,"Identifier corresponding to each individual cell. Included in the data and in every other location to refer to the data (e.g., metadata and annotations). In AnnData files, the ID corresponding to each individual cell is stored in the obs index.",,,string,,,,,,"data, assigned metadata, calculated metadata, tooling",
feature_matrix_label,2c860046-83d5-47f9-98d5-29ce81446819,,,ID of the associated feature matrix where the data is stored (if not included in this file). Used in BKP when data is found elsewhere for connected cell to data file.,,,,,,,,,"assigned metadata, calculated metadata, annotations",
dataset_label,519ecc82-e397-4b1e-a846-d27d48610ff3,,,Link between each cell and each dataset in BKP. Need clarification on how this differs from feature_matrix_label; for CAS this is a taxonomy-level variable in uns called dataset_url.,,,,,,,,,"assigned metadata, calculated metadata, annotations",
[COLUMN_NAME]_color,0ab06f78-6df2-4555-8990-3eec36b2adbb,,,"Color vector for metadata/taxonomy values in format [COLUMN_NAME]_label. This is ONLY used for molgen-shiny plots, but because of this, some metadata files come with these and some don't and that could cause challenges. Should revisit how to store colors and how to deal with metadata in both formats. Should also agree on a standard for which way is preferred.",,,,,,,,,"assigned metadata, calculated metadata, annotations",
[COLUMN_NAME]_id,701b32ca-4d95-47c5-8213-e7ab8c5373eb,,,"Same as above, but in this case for the order of metadata values (e.g., the levels of a factor, or ascending order of a numeric)",,,,,,,,,"assigned metadata, calculated metadata, annotations",
assay,a2ced0f5-4fdb-4ede-b524-2d975a70f21a,,,"In CELLxGENE these correspond to a human-readable modality along with the associated EFO ontology term. We often use the term modality in place of assay (e.g., 'Smart-seq2'corresponds to 'EFO:0008931', '10x 3' v3'corresponds to 'EFO:0009922'). This is called ""library method"" in BKP. Ideally we will agree on a term for this and it will be provided upstream from BICAN. Called Modality in taxonomy Google Sheet.",,,,,,,,,assigned metadata,
assay_ontology_term_id,12c1b9a3-57fa-44ea-8254-38eb3fa4ba71,,,The ontology ID of the assay term.,,,,,,,,,assigned metadata,
suspension_type,d6d84f18-90c8-4f4f-849a-fd4d0b665b95,,,"Either ""cell"", ""nucleus"", or ""na"" in CELLxGENE. Called entity in the BKP. We should pick one to use.",,"cell, nucleus, na",value set,,,,,,assigned metadata,
[batch_condition_columns],5d64eed3-ae83-4b47-864d-cc4b3258e7ce,,,"Zero or more vectors of metadata associated with batches. These are not required, but called out separately by cellxgene for analysis purposes.",,,,,,,,,assigned metadata,
[addtional uncontrolled metadata],d417074d-5f7a-4bb8-8a7f-11e20fdcca97,,,"Additional uncontrolled cell metadata. These are not required, but any additional columns are allowed by all h5ad formats.",,,,,,,,,"assigned metadata, calculated metadata",
brain_region,71611b58-f98e-4a69-ad88-c0029a377cbe,region of interest,,"Brain region(s) sampled. Called tissue_ontology_term_id in cellxgene; cell_set structures also defined below; called region_of_interest_label and anatomic_division_label in BKP. Also associated are acronymns, labels, etc.; More generally need to arrive at a way of dealing with brain regions. Note that this slot in the Assigned metadata is meant to deal with cell-level assignments for brain region (e.g., dissection) and NOT cell set summarizations by brain region, which are included below.",,,,,,,,,assigned metadata,
tissue,33ccbc85-ae35-44d6-8bc6-c2fb91116cf7,tissue type,,"Along with ""tissue"" field, these correspond to UBERON terms for the 'brain region' fields that we have (e.g., 'brain' = 'UBERON_0000955'). In process: we need to discuss how to integrate Allen reference brain atlases for mouse and human.",,,,,,,,,assigned metadata,
tissue_ontology_term_id,7f797e30-8586-48d9-98e8-5d0ae4670a5a,,,"Along with ""tissue"" field, these correspond to UBERON terms for the 'brain region' fields that we have (e.g., 'brain' = 'UBERON_0000955'). In process: we need to discuss how to integrate Allen reference brain atlases for mouse and human.",,,,,,,,,assigned metadata,
donor_id,f8af20f7-e8b8-47b5-8a68-9ec1f913ffdf,local donor ID,,"Identifier for the unique individual, ideal from the specimen portal (or other upstream source). This is called donor_label in the BKP. Should converge on a standard term. More than one identifier may be needed, but ideally for the analysis only a single one is retained and stored here.",,,,,,,,,assigned metadata,
species,d11fb2ce-bfdb-4735-9b17-b6ba606520b1,species,,"Species sampled. This is split into two fields in CAP/cellxgene/BICAN: organism (e.g., homo sapiens) and  organism_ontology_term_id (e.g., 'NCBITaxon:10090'). For consistency, we should change species to organism and could write a function to automatically identify the ontology term (I think GeneOrthology already has one). Called Species name and Species ID in taxonomy Google Sheet.",,,,,,,,,assigned metadata,
age,14eb923a-161d-45e2-889d-81fea7b632b6,age at death,,"Currently a free text field for defining the age of the donor. In CELLxGENE this is recorded in development_stage_ontology_term_id and is HsapDv if human, MmusDv if mouse. I'm not sure what this means, but more generally, we should align with BICAN on how to deal with this value.",,,,,,,,,assigned metadata,
sex,c819b9d5-2fde-40b2-bf0d-e07b56f96ac9,sex at birth,,"Placeholder for donor sex. Called sex_ontology_term_id (e.g., PATO:0000384/383 for male/female) in CELLxGENE and called ""donor_sex"" in BKP. We should align on a single term.",,,,,,,,,assigned metadata,
donor_genotype,f6e7f720-924f-4098-822d-b79546a33583,,,"One (or sometimes more) column related to the genotype of the animal (for transgenic mice, in particular). Not used for humans and most NHP.",,,,,,,,,assigned metadata,
self_reported_ethnicity_ontology_term_id,918370df-49f6-4361-9c52-f46b16412980,ethnicity,,Controversial field that is required for CELLxGENE but otherwise not used. HANCESTRO term if human and 'na' if non-human.,,,,,,,,,assigned metadata,
disease,42695d98-c3b8-447f-9358-364f502a7bda,x-ref with condition type,,A human-readable name for a disease.,,,,,,,,,assigned metadata,
disease_ontology_term_id,039354be-2ed5-40e1-a513-02589322d8b7,,,The associated MONDO ontology term (or PATO:0000461 for 'normal'). Used in CELLxGENE and ideally we can also adopt for SEA-AD and other use cases.,,,,,,,,,assigned metadata,
assigned_metadata_metadata,e0cbb726-f108-4514-8243-0799327cb104,,,TBD information about the assigned_metadata itself. This likely is not needed or should be renamed.,,,,,,,,,assigned metadata,
batch_condition,f4abc03e-7f6f-45cb-8a2e-d59a5846f368,,,"List of obs fields that define “batches”; Used by CELLxGENE if provided, but otherwise not needed.",,,,,,,,,assigned metadata,
