Proposed BICAN Field Name,BICAN UUID,Aliases,LinkML Class,Definition,Nullable,Permissible Values,Data Type,Data Example,Min Value,Max Value,Unit,Statistical Variable Type,Subsets,Version Date
gene,5348b721-8bdf-4f0d-8bf4-68810f2f4da4,gene_symbol,,A vector of gene symbols. This is broadly useful in the community for defining genes but occasionally problematic; called `gene_symbol` in BKP. CELLxGENE uses a very specific version of ensembl_id for the INDEX.,,,,,,,,,"data, analysis",
marker_genes_[…],c813e546-e4c2-4215-8225-1ce734a7f534,,,"A set of logical vectors (T/F) indicating which genes are markers used to build dendrogram, or for other purposes. The [...] part of the name links to additional metadata in the uns. This needs to be UPDATED in AIT to allow multiple marker gene sets; markers currently stored differently in CAP.",,,,,,,,,"annotations, analysis",
highly_variable_genes,c058ee9b-2ae8-44b1-abae-57f736309726,,,A logical vector (T/F) indicating which genes are highly variable. Used for correlation-based mapping in scrattch.mapping.,,,,,,,,,analysis,
dend,7eee350d-1bd8-4d5d-84f0-85ad1213f703,,,A JSON formatted dendrogram used for tree mapping. Created by scrattch.taxonomy if not provided. Sometimes used for taxonomy annotation.,,,,,,,,,"annotations, analysis",
QC_markers,46d9459e-c936-4e7f-8703-6ab7097adec9,,,"The marker gene expression in on-target and off-target cell populations, useful for patchseq analysis. Also includes information about KL divergence calculations and associated QC calls and is defined by `buildPatchseqTaxonomy`.",,,,,,,,,analysis,
filter,ac4bdbee-c31f-46f9-afc9-6021e7feccbe,,,The indicator of which cells to use for a given child taxonomy (subset).,,,,,,,,,analysis,
mode,7c340d6f-909b-4e39-b4f1-83ec8fd8ff3d,,,"A taxonomy mode determines which filter to use (e.g., that indicates which child taxonomy to map against). Several of the other analysis components of the uns have things saved with mode as the name in the h5ad file. See also the scrattch.mapping documentation. Mode is the Taxonomy short name in taxonomy Google Sheet for a child taxonomy with the Parent taxonomy listed as the `taxonomyName`.",,,,,,,,,analysis,
clustersUse,68e6df92-aeab-4f5a-849c-db1bf7259b96,,,A vector of cluster names to use for taxonomy.,,,,,,,,,analysis,
clusterInfo,e0581d89-7550-40ee-9c5f-d985123718a6,,,A data.frame of cluster information.,,,,,,,,,analysis,
marker_gene_metadata,abcc6c5c-9b8b-407b-a20f-6f3301c9c200,,,"Metadata about any new marker gene lists added, if any.",,,,,,,,,analysis,
development_date,32a8fc5d-e429-4550-b020-2a9ff84cffae,,,Date of taxonomy development. Required for Google Sheet.,,,,,,,,,analysis,
public,e69de720-559c-441b-bab0-d765a433d2b8,,,A logical flag indicating whether the taxonomy should be public or private. Required for Google Sheet.,,,,,,,,,analysis,
annotation_sheet,daef45bb-ec6e-45da-827e-0e4c20b9b7c9,,,A link to annotation sheet. An optional slot in the Google sheet.,,,,,,,,,analysis,
purpose,efc20587-b6d2-475e-b682-3076a54921ab,,,"The overarching purpose of the taxonomy. This is a controlled vocabulary (currently ""General"" and/or ""Patch-seq""). Required for Google Sheet at the moment.",,,,,,,,,analysis,
umap,45ee1d3a-abb6-4dc5-a1e8-1e16c82c2496,,,"A 2 (or more)-dimensional representation of cells in AIT. Must be of the form X_[...] for use with CELLxGENE. Only the first two dimensions are used for AIT and CELLxGENE, but 3 dimensions can be used for cirrocumulus.",,,,,,,,,analysis,
pca,87697783-97ce-4c43-a5d8-f59553e59aff,,,Additional terms for embedding multi-dimensional principal components and latent spaces,,,,,,,,,analysis,
scVI,2ca30bc8-776f-4e74-95f2-923c3d5d6002,,,Additional terms for embedding multi-dimensional principal components and latent spaces,,,,,,,,,analysis,
