Proposed BICAN Field Name,BICAN UUID,Aliases,LinkML Class,Definition,Nullable,Permissible Values,Data Type,Data Example,Min Value,Max Value,Unit,Statistical Variable Type,Subsets,Version Date
labelsets_fields,3b7de4bc-d2e2-431f-a029-fcccae7b1ccf,"cluster annotation term sets, label_sets",,"This is a list of fields that are used in the labelsets data frame. The column name is a string (e.g., ""subclass"") and the values are cell_labels (e.g., ""SST""). The equivalent in BKP are Cluster Annotation Term Sets and in CAP is label_sets. This also encapsulates the concept of cell_ids from CAP/CAS, since in the h5ad file each row corresponds to a cell and therefore you get the cell_label --> cell_ids mapping for free. This is stored as separate files in both BKP and TDT. This is critical for scrattch.taxonomy and scrattch.mapping to work properly, but none of the [cellannotation_set]--XXXX fields below are needed for AIT.",,,,,,,,,,
neurotransmitters,c0bd3c28-e523-4e9c-af73-4d01ce82390b,neurotransmitter,,"The neurotransmitter(s) that are associated with the cell set. This is a string that can be a single neurotransmitter or a comma-separated list of neurotransmitters (e.g., ""GABA, Glutamate"").",,,,,,,,,,
cell_set_accession,55cb81b4-5f6d-4930-aba6-0ef1d1784124,cluster annotation term,,"The ID corresponding to the cell_set; called the ""Cluster Annotation Term"" in BKP. This is critical for scrattch.taxonomy and scrattch.mapping to work properly.",,,,,,,,,,
cell_set_label,69dc12e7-e825-400f-bf51-5f3f54a1204b,,,A label for a particular cell set. In CCN this is used as a tag for each cluster or (for cell sets with >1 cluster) included a list of underlying cluster labels. It was important for proper databasing without a database.,,,,,,,,,,
cell_fullname,b5036e70-9181-45c0-8fdb-66da93be2d87,cell_set_preferred_alias,,"The longer name for a cell type (e.g., ""Somatostatin interneuron 1"" rather than ""SST 1""). This was called the cell_set_preferred_alias in CCN.",,,,,,,,,,
cell_ontology_exists,9d840e2f-af93-45b5-9528-a7e9a74bf237,,,A true/false field about whether a cell ontology term exists that corresponds to the cell type.,,,,,,,,,,
cell_ontology_term_id,fe21fa47-6fd2-4432-82de-2412db9462c6,cell_set_ontology_tag,,The highest resolution Cell Ontology term ID corresponding to the cell type. This was called `cell_set_ontology_tag` in CCN.,,,,,,,,,,
cell_ontology_term,52685f23-9bcc-416a-ae70-e9de43ef4123,cell_set_structure,,The highest resolution Cell Ontology term (name) corresponding to the cell type. This was called `cell_set_structure` in CCN and was also largely mapping to the `cell_set_aligned_alias`.,,,,,,,,,,
rationale,a76fa81e-ba3f-4813-ac7c-cce1f43683a6,,,Free text evidence for cell annotations.,,,,,,,,,,
rationale_dois,cd9ce030-058c-4890-b552-750735c90ba4,cell_set_alias_citation,,"A list of publication DOI's of rationale. In CCN, this is called ""cell_set_alias_citation"". NOTE: this can use comma-separated, pipe-separated, or /#/-separated.",,,,,,,,,,
marker_gene_evidence,e790e621-e7f2-42ba-8f20-bcac2c1f86e4,,,"A list (comma-separated) of marker genes used as evidence for cell type annotation (e.g., by NS-Forest). Note: This is reserved for ontology markers.",,,,,,,,,,
synonyms,137f6d7d-d257-4ffb-8a14-24fcb0bab0e9,cell_set_additional_alias,,"A list (comma-separated) of aliases or synonyms (e.g., ""neuroglial cell, glial cell, neuroglia""). This was called `cell_set_additional_alias` in CCN. ",,,,,,,,,,
parent_cell_set_name,27bf9e17-13e9-4a52-8d15-24c55146aec4,parent_cell_set_label,,The `cell_label` corresponding to the parent cell_set.,,,,,,,,,,
parent_cell_set_accession,bfa1e2d9-e65d-480d-b54c-9947acaddd93,parent_cluster_annotation_term_id,,The ID corresponding to the parent cell_set. This corresponds to the parent Cluster Annotation Term ID in knowledgebase.,,,,,,,,,,
dend,27bdd1f9-aebe-4868-ba22-91710fc371fe,,,A JSON formatted dendrogram used for tree mapping. This is created by scrattch.taxonomy if not provided.,,,,,,,,,"annotations, analysis",
cell_set_relationships,554af932-8f56-490d-a5bd-f75a7aecc28f,,,"This is a dataframe of all sibling relationships (things like gradients, trajectories, constellation diagrams, etc.). This has five columns: cells_set_accession1, cell_set_accession2, relation_label, value, direction. Potentially, this could alternatively be stored as a JSON representation that unpacks into a dataframe.",,,,,,,,,,
filter,2b5c18ef-5436-44dc-ab60-13965f052efb,,,"An indicator of which cells to use for a given child taxonomy (subset), saved as a list of vectors. Each entry in this list is named for the relevant ""mode"" and has TRUE/FALSE calls indicating whether a cell is filtered out (e.g., the ""standard"" taxonomy is all FALSE). This is critical for how child taxonomies are defined and implemented in scrattch.taxonomy but differs from how taxonomies are stored in all other schemas.",,,,,,,,,"analysis, annotations",
transferred_annotations,1c3f146c-eb76-451d-9925-15f58f47f71a,,,"A dataframe where each column is a string corresponding to the taxonomy of comparison; values are the transferred cell label from that taxonomy. This is used to store annotations that have been transferred from one taxonomy to another, allowing for cross-taxonomy comparisons.",,,,,,,,,,
transferred_annotations_metadata,80e26439-2e51-4faa-87ef-576937b89c71,,,"A data frame of information about each transferred annotation column: `source_taxonomy`, `algorithm_name`, `comment`. This is for taxonomy-level metadata and linked to data in var. This is important for tracking the provenance of transferred annotations and ensuring that the source of each annotation is clear.",,,,,,,,,,
annotation_key_name,f09d7148-9750-4a9c-8eba-da1a11c3b274,,,The name of the annotation key.,FALSE,,string,,,,,,,
annotation_key_description,63e9a887-cdf9-4248-ae83-41a720ce8f53,,,Some text describing what types of cell annotation this annotation key is used to record.,TRUE,,string,,,,,,,
annotation_method,2e91e232-dccb-4584-8a0b-0263660d6c08,,,"The method used for creating the cell annotations. This MUST be one of the following strings: 'algorithmic', 'manual', or 'both' . ",TRUE,"algorithmic, manual, both",value set,,,,,,,
automated_annotation,9fba68df-a9f0-4cf9-994d-9b15f31fb88d,,,A boolean indicating whether the annotation was created using an automated method. This is used to distinguish between annotations that were generated by algorithms versus those that were manually curated.,TRUE,,object,,,,,,,
algorithm_name,fd9cb36e-5d29-45d7-8002-c4da15c9a3d1,,,The name of the algorithm used. It MUST be a string of the algorithm's name.,FALSE,,string,,,,,,,
algorithm_version,81ed9281-3f29-46e8-8e06-963afe3e27e4,,,"The version of the algorithm used (if applicable). It MUST be a string of the algorithm's version, which is typically in the format '[MAJOR].[MINOR]', but other versioning systems are permitted (based on the algorithm's versioning).",FALSE,,string,,,,,,,
algorithm_repo_url,ce81ab8b-3892-473d-883c-c8fa266376ec,,,This field denotes the URL of the version control repository associated with the algorithm used (if applicable). It MUST be a string of a valid URL.,FALSE,,string,,,,,,,
reference_location,4d60f911-5c5c-4ebc-a1df-b243a7252730,,,"This field denotes a valid URL of the annotated dataset that was the source of annotated reference data. This MUST be a string of a valid URL. The concept of a 'reference' specifically refers to 'annotation transfer' algorithms, whereby a 'reference' dataset is used to transfer cell annotations to the 'query' dataset.",TRUE,,string,,,,,,,
rank,25bb3ce6-eda7-47be-8855-317a3b1002ea,,,A number indicating relative granularity with 0 being the most specific. Use this where a single dataset has multiple keys that are used consistently to record annotations and different levels of granularity.,TRUE,,integer,,,,,,,
