Proposed BICAN Field Name,BICAN UUID,Aliases,LinkML Class,Definition,Nullable,Permissible Values,Data Type,Data Example,Min Value,Max Value,Unit,Statistical Variable Type,Subsets,Version Date
cell_id,34ca0703-429f-4920-8a08-dd4c61b29444,,,"Identifier corresponding to each individual cell. Included in the data and in every other location to refer to the data (e.g., metadata and annotations). In AnnData files, the ID corresponding to each individual cell is stored in the obs index.",,,string,,,,,,"data, assigned metadata, calculated metadata, annotations, tooling",
feature_matrix_label,2c860046-83d5-47f9-98d5-29ce81446819,,,The ID of the associated feature matrix where the data is stored (if not included in this file). Used in BKP when data is found elsewhere for connected cell to data file.,,,,,,,,,"assigned metadata, calculated metadata, annotations",
dataset_label,519ecc82-e397-4b1e-a846-d27d48610ff3,,,"Identifier corresponding to the dataset. Included in the data and in every other location to refer to the data (e.g., metadata and annotations). In AnnData files, the ID corresponding to each individual cell is stored in the obs index.",,,,,,,,,"assigned metadata, calculated metadata, annotations",
[COLUMN_NAME]_color,0ab06f78-6df2-4555-8990-3eec36b2adbb,,,"Color associated with the cell. Included in the data and in every other location to refer to the data (e.g., metadata and annotations). In AnnData files, the ID corresponding to each individual cell is stored in the obs index.",,,,,,,,,"assigned metadata, calculated metadata, annotations",
[COLUMN_NAME]_id,701b32ca-4d95-47c5-8213-e7ab8c5373eb,,,"The order of metadata values (e.g., the levels of a factor, or ascending order of a numeric). Likely should use “rank” or “order” rather than “id”, since these are not identifiers. Included in the data and in every other location to refer to the data (e.g., metadata and annotations). In AnnData files, the ID corresponding to each individual cell is stored in the obs index.",,,,,,,,,"assigned metadata, calculated metadata, annotations",
cluster,307b18c9-b258-495c-bbe9-96bb4b23ef1d,,,"Human-readable cluster name used primarily by scientists and other folks. This is the same as “cell_label” for cell sets when the “label_set” is cluster. It's also used for cirrocumulus. This is the CRITICAL column used for cluster annotations. It is the baseline for the majority of cell_annotation columns. Sometimes called cluster_label : [""Annotations""] : There is also an additional cluster_alias column used in mouse whole brain data and for BKP.",,,,,,,,,annotations,
[additional uncontrolled metadata],d417074d-5f7a-4bb8-8a7f-11e20fdcca97,,,"Additional uncontrolled cell metadata. These are not required, but any additional columns are allowed by all h5ad formats.",,,,,,,,,annotations,
marker_genes_[…],deddeb0d-0df2-4e53-bf69-21be2c305cd0,,,"A set of logical vectors (T/F) indicating which genes are markers used to build dendrogram, or for other purposes. The [...] part of the name links to additional metadata in the uns. This needs to be UPDATED in AIT to allow multiple marker gene sets; markers currently stored differently in CAP.",,,,,,,,,"annotations, analysis",
dend,27bdd1f9-aebe-4868-ba22-91710fc371fe,,,A JSON formatted dendrogram used for tree mapping. Created by scrattch.taxonomy if not provided. Sometimes used for taxonomy annotation.,,,,,,,,,"annotations, analysis",
labelsets,7fa0b7a1-6af7-4f79-8da0-29d7950ea736,cluster annotation term set,,"A data frame representation that contains information about each `cellannotation_set` set of columns (e.g., subclass, class, neurotransmitter, etc.). Specifically: `name`, `description`, and `rank` (0 most specific) and some information about provenance needed for each labelset. This is equilalent to `Cluster annotation term set` in BKP. ",,,,,,,,,annotations,
cell_set_relationships,554af932-8f56-490d-a5bd-f75a7aecc28f,,,"This is a dataframe of all sibling relationships (things like gradients, trajectories, constellation diagrams, etc.). This has five columns: cells_set_accession1, cell_set_accession2, relation_label, value, direction. Potentially, this could alternatively be stored as a JSON representation that unpacks into a dataframe.",,,,,,,,,annotations,
filter,2b5c18ef-5436-44dc-ab60-13965f052efb,,,The indicator of which cells to use for a given child taxonomy (subset).,,,,,,,,,annotations,
taxonomy_title,086ee228-c32c-4f3c-b431-108775136775,"taxonomy short name, title",,"Taxonomy name (e.g., ""AIT30""); called `title` in cellxgene. This is called `Taxonomy short name` in taxonomy Google Sheet.",,,,,,,,,annotations,
taxonomy_id,b9c06d39-4e0e-4345-8883-26e0cf2960ca,,,"The ID of a taxonomy in CCN format (e.g., ""CCN030420240""). This MUST be globally unique. It is also used in the PURL system and called `Taxonomy ID` in taxonomy Google Sheet.",,,,,,,,,annotations,
taxonomy_description,03da4573-6a72-4721-b1d4-f572396a49fb,,,Free text description of the taxonomy (or of the dataset on CAP). This is called `Description` in taxonomy Google Sheet.,,,,,,,,,annotations,
taxonomy_citation,e23582e7-3be3-4ae9-8682-d904b21daaa3,publication,,"Publication DOI's of the taxonomy (e.g., ""doi:10.1038/s41586-018-0654-5""), separated by `|`. This is called `Publication` in taxonomy Google Sheet.",,,,,,,,,annotations,
marker_gene_metadata,b70f1ded-2bd8-426d-94de-bd6e28ae7989,,,"Metadata about any new marker gene lists added, if any.",,,,,,,,,annotations,
transferred_annotations_metadata,80e26439-2e51-4faa-87ef-576937b89c71,,,"A data frame of information about each transferred annotation column: `source_taxonomy`, `algorithm_name`, `comment`. This is for taxonomy-level metadata and linked to data in var.",,,,,,,,,annotations,
taxonomyDir,d414a71b-aa2b-403b-8a3d-2f201df25d5b,taxonomy file location,,The location of the h5ad file. This is called `Taxonomy file location` in taxonomy Google Sheet.,,,,,,,,,annotations,
dataset_url,029268dc-80e7-4ed5-976b-feecf1eb611f,,,The PURL of a taxonomy.,,,,,,,,,"annotations, tooling",
matrix_file_id,5d625688-96da-4c65-97b9-211cbcad4aea,,,The ID of a matrix file. This is like dataset_url; e.g. `CellXGene_dataset:8e10f1c4-8e98-41e5-b65f-8cd89a887122`. ,,,,,,,,,"annotations, tooling",
author_list,15e4be61-b1fb-49a5-9a81-7fed61138256,taxonomy users,,"A list of all collaborators, comma separated [First] [Last]. Called `Taxonomy Users` in taxonomy Google Sheet.",,,,,,,,,"annotations, tooling",
author_name,0ea83cdb-cd06-4ef8-84c1-6aec29220759,"taxonomy author, point person name",,"The primary author [First Name] [Last Name] of the taxonomy. In CCN was called `taxonomy_author`. In CCN it is also seperated by `cell_set` with ""cell_set_alias_assignee"". This is called `Point person name` in taxonomy Google Sheet.",,,,,,,,,annotations,
author_contact,fa084043-3c8e-47cb-959e-2f3daf2165ec,point person email,,A valid email address of the primary author of a taxonomy. This is called `Point person email` in taxonomy Google Sheet.,,,,,,,,,annotations,
orcid,2c96776b-b158-4e0c-ba67-ea7a63efb1e8,point person ORCID,,A valid ORCID of the primary author of the taxonomy. This is called `Point person ORCID` in taxonomy Google Sheet.,,,,,,,,,annotations,
annotation_source,d37cf51c-d38e-4ef3-968f-bfe78dac03a9,,,Any additional metadata about the annotation algorithm used. This is similar to `taxonomy algorithm info` stored for CCN,,,,,,,,,annotations,
