Proposed BICAN Field Name,BICAN UUID,Aliases,LinkML Class,Definition,Nullable,Permissible Values,Data Type,Data Example,Min Value,Max Value,Unit,Statistical Variable Type,Subsets,Version Date
cell_id,34ca0703-429f-4920-8a08-dd4c61b29444,cell_label,,"Identifier corresponding to each individual cell. Included in the data and in every other location to refer to the data (e.g., metadata and annotations). In AnnData files, the ID corresponding to each individual cell is stored in the obs index.",,,string,,,,,,"data, assigned metadata, calculated metadata, tooling",
parent_cell_set_accession,bfa1e2d9-e65d-480d-b54c-9947acaddd93,parent_cluster_annotation_term_id,,The ID corresponding to the parent cell_set. This corresponds to the parent Cluster Annotation Term ID in knowledgebase.,,,,,,,,,labelsets,
dataset_url,029268dc-80e7-4ed5-976b-feecf1eb611f,,,The PURL of the dataset; this is the URL where the dataset can be found.,,,,,,,,,"annotations, tooling",
matrix_file_id,5d625688-96da-4c65-97b9-211cbcad4aea,,,The ID of a matrix file. This is like dataset_url; e.g. `CellXGene_dataset:8e10f1c4-8e98-41e5-b65f-8cd89a887122`. ,,,,,,,,,"annotations, tooling",
author_list,15e4be61-b1fb-49a5-9a81-7fed61138256,taxonomy users,,"A list of all collaborators, comma separated [First] [Last]. Called `Taxonomy Users` in taxonomy Google Sheet.",,,,,,,,,"annotations, tooling",
schema_version,34a60ffb-c6ac-4264-9ec3-5846c3745207,,,"The cellxgene schema version (e.g., ""3.0.0"").",,,,,,,,,tooling,
[...]_color,b2ee3685-aa64-43d3-b351-9cec1b6214ea,,, RGB color vector for metadata [...]; required only for selecting colors in cirrocumulus. This may be the same as the [COLUMN_NAME]_color.,,,,,,,,,tooling,
cellannotation_schema_version,195cbdbf-d486-4d54-9c1d-83edf0a44ec5,,,"The version of the Cell Annotation Schema (CAS) used, formatted as '[MAJOR].[MINOR].[PATCH]'. This is used to track the version of the schema used for cell annotations.",,,,,,,,,tooling,
cellannotation_timestamp,37da06ba-9c15-405f-b5d6-f8d2bf5fc3a3,,,"Timestamp when published: %yyyy-%mm-%dd %hh:%mm:%ss; Useful in general, though currently only required by CAP. This also could be the same as `development_date`.",,,,,,,,,tooling,
cellannotation_version,439f52e8-e2e6-406c-850c-434d448c8b6d,,,The CAP taxonomy annotation version; required by CAP.,,,,,,,,,tooling,
[additional information],994e6572-2aca-4f0a-89f0-6b7fd893a36b,,,"Placeholder for several other (seemingly redundant) fields required by external tools (e.g., CAP, cellxgene).",,,,,,,,,tooling,
