Grant,Project,Data Collection (use in Sample Metadata),Collection title,Collection description,Archive URL,License
RF1 Adey,adey_sci,sciMETv2_human_cortex_raw,sci-METv2 high-throughput single-cell DNA methylation on human cortex,,,
RF1 Adey,adey_sci,sciATACv3_mouse_brain_raw,Chip-based sci-ATACv3 with high information content on mouse whole brain,,,
RF1 Chung,chung_antibody_proj,chung_ihc,IHC Validation of CDI Monoclonal Antibodies against Commercial Comparisons,IHC Validation of CDI Monoclonal Antibodies against Commercial Comparisons,,
RF1 Kim,dev_mouse_brain_ccf_proj,dev_mouse_brain_ccf ,Developing Mouse Brain Common Coordinate Framework,"Volumetric Data was collected using MRI, LSFM, and STPT as described in each representative collection. The data was downsampled to 10 micron isotropic, then shape and intensity averaged using ANTs to generate the set of common coordinate frameworks in this collection.",,
RF1 Kim,dev_mouse_brain_ccf_proj,dev_mouse_brain_lsfm,Developing Mouse Brain LSFM Data,"Volumetric LSFM data collected from ex vivo mouse whole brains at a resolution of 1.873 x 1.873 x 5 micron. Postnatal mouse brains were extracted from the skull and embyonic brains were left in skull which was separated from the body. Samples were tissue cleared using modified U.Clear and iDisco methods. Light sheet imaging was conducted using a SmartSPIM Light Sheet Microscope (LifeCanvas Technologies). Data was collected using autofluorescence and multiple stains and reporter proteins for neurotrace, neurofilament, PV, SST, ChAT, VIP, GAD2, and Lectin. Image tiles were stitched using in house stitching software.",,
RF1 Kim,dev_mouse_brain_ccf_proj,dev_mouse_brain_mri,Developing Mouse Brain MRI Data,"This dataset comprises a set of ex vivo, in skull MRI whole mouse brain scans in a 7T MRI scanner. Multiple contrasts were acquired at 100 micron isotropic. We acquired high angular resolution diffusion weighted imaging (HARDI), T2-weighted images, and magnetization transfer images using modified 3D gradient and spin echo (GRASE) sequence. Data preprocessing included motion correction, diffusion tensor estimation, and computation of average DWIs and fractional anisotropy.",,
RF1 Kim,dev_mouse_brain_ccf_proj,dev_mouse_brain_stpt,Developing Mouse Brain STPT Data,"Volumetric STPT data collected from ex vivo mouse whole brains at a resolution of 1 x 1 micron with 50 micron z slices. Data was collected for fluorescent ChAT, PV, GAD2, SST, and VIP Cre reporter mice. Postnatal mouse brains were extracted from the skull and embyonic brains were left in skull which was separated from the body. Image tiles were stitched using in house stitching software.",,
RF1 Macosko,macosko_mouse_slideseq_proj,macosko_mouse_slideseq_histologydataset,Histology images of the mouse brain,Histology images of the mouse brain,,
RF1 Macosko,macosko_mouse_slideseq_proj,macosko_mouse_slideseq_slideseqdataset,Slide-seq of the mouse brain,Slide-seq of the mouse brain,,
RF1 Mueller,mueller_mouselight_proj,mueller_mouselight,Mouselight imaging of sparsely labeled neurons,The data were generated by imaging sections through the entire mouse brain using serial sections combined with two photon fluorescence imaging of sparsely labeled neurons (MouseLight platform from Janelia).,,
RF1 Nowakowski ,nowakowski_evobc_proj,nowakowski_evobc,Single cell RNA sequencing,Single-cell dataset from whole brain dissociation for one mouse (MGK_M7). Cells have evolvable barcodes which underwent continuous editing.,,
RF1 Nowakowski ,nowakowski_pndev_10xv3_proj,nowakowski_pndev_10xv3,Postnatal development mouse brain data,"fastq files for cells collected from two regions (V1S and Thalamus) of the same P14, C57Bl/6J mouse, each split into two libraries for a total of four libraries; bam files created by CellRanger v6.0.0 pooling the two libraries from each region",,
