ID,label,synonym,definition,reference
NCBITaxon:9606,Homo sapiens,human,,
NCBITaxon:9483,Callithrix jacchus,marmoset,,
NCBITaxon:10090,Mus musculus,mouse,,
NCBITaxon:9544,Macaca mulatta,rhesus macaque,,
NCBITaxon:60711,Chlorocebus sabaeus,green monkey,,
NCBITaxon:9999,Urocitellus parryii,Arctic ground squirrel,,
NCBITaxon:9361,Dasypus novemcinctus,nine-banded armadillo,,
NCBITaxon:9598,Pan troglodytes,chimpanzee,,
NCBITaxon:1353796,Mustela furo,domestic ferret,,
NCBITaxon:9593,Gorilla gorilla,western gorilla,,
NCBITaxon:9545,Macaca nemestrina,pig-tailed macaque,,
NCBITaxon:13616,Monodelphis domestica,gray short-tailed opossum,,
NCBITaxon:37293,Aotus nancymaae,Ma's night monkey,,
NCBITaxon:9986,Oryctolagus cuniculus,rabbit,,
NCBITaxon:10116,Rattus norvegicus,Norway rat|brown rat|common rat|Norwegian rat,,
NCBITaxon:9541,Macaca fascicularis,crab-eating macaque,,
NCBITaxon:9534,Chlorocebus aethiops,grivet,,
NCBITaxon:9614,Canis latrans,coyote,,
NCBITaxon:9555,Papio anubis,olive baboon|Anubis baboon,,
NCBITaxon:27679,Saimiri boliviensis,black-capped squirrel monkey,,
NCBITaxon:9521,Saimiri sciureus,squirrel monkey|South American squirrel monkey|Guianan squirrel monkey,,
