BICAN Field Name,BICAN UUID,Description,NIMP Variable Name,NHash ID,Aliases,LinkML Class,LinkML Slot Name,Data Type,Permissible Values,Statistical Variable Type,Nullable,Min Value,Max Value,Unit,Subsets,NIMP Resource Subgroup,NIMP Display Name
Name of metadata field,UUID of field in BICAN Ecosystem,A detailed definition for this field ,Name of variable at NIMP,NHash ID for this field,Aliases for this metadata element in other schemas/resources,The LINKML class or data entity (e.g. purple or orange box in the workflow diagram) with which this metadata field is associated ,Slot name for this field in LinkML,Type of values in this field (integer; float; text; date),For fields that have values from a limited set; see Controlled Values table for entries,['categorical'; 'continuous'; 'ordinal'; 'boolean'],Are null values allowed,For measurements if applicable,For measurements if applicable,For measurements if applicable,Data use subset for this field,Resource subgroup at NIMP,Display name at NIMP
donor_nhash_id,98b28574-f97f-4436-b723-10a6508431b5,NIMP generated globally unique identifier for a Donor ,donor_nhash_id,PD-DEXRDO36,NHash Donor ID,Donor,,text,,categorical variable,FALSE,,,,General Subject Fields,General Subject Fields,NHash Donor ID
repository,408682ed-0e27-41e2-b9fa-f05674366d6e,If the brain is from NBB the NBB repository the brain belongs to,repository,PD-NYNYAR61,Repository,Donor,,categorical,Yes,categorical variable,TRUE,,,,General Subject Fields,General Subject Fields,Repository
donor_source,0d0cf732-0f76-409d-9a73-7a96d829d3d3,The source of the donor brain e.g. NBB/UM1 project/other,donor_source,PD-TPTPPS27,Donor Source,Donor,,categorical,Yes,categorical variable,FALSE,,,,General Subject Fields,General Subject Fields,Donor Source
ethnicity,918370df-49f6-4361-9c52-f46b16412980,Ethnicity of the donor,ethnicity,PD-JEJECK48,Ethnicity,Donor,,categorical,Yes,categorical variable,TRUE,,,,General Subject Fields,General Subject Fields,Ethnicity
race,e515c009-550e-4f9c-b1b6-fc876a6fb2a8,Race of the donor,race,PD-PRPRRP41,Race,Donor,,categorical,Yes,categorical variable,TRUE,,,,General Subject Fields,General Subject Fields,Race
secondary_race,192fe5b1-c812-4767-86fb-3178f9914705,Second race if available for the donor,second_race,PD-SESEQB42,Second Race,Donor,,categorical,Yes,categorical variable,TRUE,,,,General Subject Fields,General Subject Fields,Second Race
sex,c819b9d5-2fde-40b2-bf0d-e07b56f96ac9,Donor's sex at birth,sex,PD-LXUBTM45,Sex at Birth,Donor,,categorical,Yes,categorical variable,TRUE,,,,General Subject Fields,General Subject Fields,Sex at Birth
gender,1c71e775-65aa-442b-a392-1cf9a44e326e,Donor's gender at death,gender,PD-KLKLJH33,Gender at Time of Death,Donor,,categorical,Yes,categorical variable,TRUE,,,,General Subject Fields,General Subject Fields,Gender at Time of Death
sex_orientation,e47e8a2f-72fb-4036-b288-f4580dc2aa4e,Donor's sexual orientation at death,sex_orientation,PD-HKHGTM45,Sexual Orientation at Time of Death,Donor,,categorical,Yes,categorical variable,TRUE,,,,General Subject Fields,General Subject Fields,Sexual Orientation at Time of Death
age_of_death,14eb923a-161d-45e2-889d-81fea7b632b6,Donor's age at death in years,age_of_death,PD-FTEMQD38,Age Value (Years),Donor,,integer,,continuous variable,TRUE,0,200,year,General Subject Fields,General Subject Fields,Age Value (Years)
birth_country_name,9c27fd29-b512-492f-a32f-b615c7585ff7,Donor's birth country,birth_country_name,PD-SQSQDF25,Birth Country Name,Donor,,categorical,Yes,categorical variable,TRUE,,,,General Subject Fields,General Subject Fields,Birth Country Name
primary_language,abe9edc7-96ca-4c6a-a1ed-c008548cc373,Donor's primary language,primary_language,PD-ATEVEV39,Primary Language Code,Donor,,categorical,Yes,categorical variable,TRUE,,,,General Subject Fields,General Subject Fields,Primary Language Code
secondary_language,37b7495f-b010-4d1c-ae32-9cb19c680950,Donor's secondary language,secondary_language,PD-OBIUQB42,Secondary Language Code,Donor,,categorical,Yes,categorical variable,TRUE,,,,General Subject Fields,General Subject Fields,Secondary Language Code
marital_status,4f0e41c9-dd15-4a37-ae6b-11b7131d7cba,Donor's marital or partner status,marital_status,PD-JCYJCN35,Marital or Partner Status ATOD,Donor,,categorical,Yes,categorical variable,TRUE,,,,General Subject Fields,General Subject Fields,Marital or Partner Status ATOD
education_years_number,add3f7fe-ae60-4cc1-bb2e-72bbbe9a1a7d,Number of years of education the donor had,education_years_number,PD-SJSJRC41,Education Years Number,Donor,,integer,,continuous variable,TRUE,0,30,year,General Subject Fields,General Subject Fields,Education Years Number
handedness,82a4087c-d0e3-48ca-8bea-a81eefc683a0,Donor's handedness,handedness,PD-WGWGTM45,Handedness,Donor,,categorical,Yes,categorical variable,TRUE,,,,General Subject Fields,General Subject Fields,Handedness
confirmed_hbcac,b6cdddf7-6f0b-4855-a0fa-16c2ab29f219,Confirmation status of meeting inclusion criteria of the Human Brain Cell Atlas Collection at NBB,confirmed_hbcac,PD-YBLATM45,HBCAC Confirmation Status,Donor,,categorical,Yes,categorical variable,TRUE,,,,General Subject Fields,General Subject Fields,HBCAC Confirmation Status
age_at_death_value,57e24d3c-c9c7-4ef3-9809-a35802d563ec,Donor's age at death value,age_at_death_value,PD-FTFTCP24,Age at Death Value,Donor,,float,,continuous variable,TRUE,,,,General Subject Fields,General Subject Fields,Age at Death Value
age_at_death_unit,b5436e99-f0a7-4c30-825d-56b88ee2ac1d,"The unit of the value mentioned under ""age_at_death_value""",age_at_death_unit,PD-AVAVEV39,Age at Death Unit,Donor,,categorical,Yes,categorical variable,TRUE,,,,General Subject Fields,General Subject Fields,Age at Death Unit
age_at_death_reference_point,3bed1f94-9d82-4ed7-afdf-79d896b24dbb,Reference point from which the donor's age at death was calculated,age_at_death_reference_point,PD-RARAGG39,Age at Death Reference Point,Donor,,categorical,Yes,categorical variable,TRUE,,,,General Subject Fields,General Subject Fields,Age at Death Reference Point
donor_species,6837cb02-6bd7-4fb8-838c-9062ead96ba4,NCBI Taxonomy code of the donor species,donor_species,PD-HEHERP41,Donor Species,Donor,,categorical,Yes,categorical variable,FALSE,,,,General Subject Fields,General Subject Fields,Donor Species
consent_status,1a53e733-276f-421a-850d-eb46e50db972,Whether the type of consent is open or controlled,consent_status,PD-CBCBWQ40,Consent Status,Donor,,categorical,Yes,categorical variable,TRUE,,,,General Subject Fields,General Subject Fields,Consent Status
