BICAN label,BICAN UUID,Aliases,Code,Description,Ontology ID
10-Hydroxycarbazepine,553e4a14-74cb-4452-bdef-9057c32a760b,,1,,
2-Furanylfentanyl,529a1474-c772-4a1f-9019-14b18876b5b5,,2,,
4-ANPP,ba81f75f-c1e0-48af-be71-13e7cd41f1f6,,3,,
6-Beta-Naltrexol - Free,73e501fc-ff69-4ef9-a11b-b802e565a1f3,,4,,
6-Monoacetylmorphine,b3b376e6-62f8-49ac-9863-58c33e0322c1,,5,,
7-Amino Clonazepam,e8262711-f8f7-47f6-9a7f-9b6d2eae6f55,,6,,
7-Amino Flunitrazepam,6a54435a-ea93-48b2-897b-89fc7892ee05,,7,,
9-Hydroxyrisperidone,4a57e99b-c24c-4300-aa9d-8ae323d8e47d,,8,,
Acetaminophen,4d571c26-646e-4e3a-ac37-c989b91c02b7,,9,,
Acetone,e076e718-cef8-44cc-9ef1-00e3371ded41,,10,,
Acetyl Fentanyl,01030237-2438-46e0-bf9a-047635bcf041,,11,,
Acrylfentanyl,aa928716-e8fc-4843-93d8-6e6ccb74f477,,12,,
Alfentanil,3a61f00f-5cf5-4b27-a356-1c035e3ecd2f,,13,,
Alpha-Hydroxyalprazolam,0992fc66-490e-4725-b214-4693c1461b0c,,14,,
Alpha-Hydroxyetizolam,8d24ea91-30ae-404f-87ef-2d90aebf5843,,15,,
Alprazolam,278cb89c-5fa8-4033-a606-5cd6f50a0f47,,16,,
Amitriptyline,c9dd0268-9965-4771-86bc-5669c6a771d9,,17,,
Amlodipine,69453cdf-cbf2-4533-b633-c8f2adec5849,,18,,
Amoxapine,0d9ae4e9-d1e3-4eaa-a524-53b035040260,,19,,
Amphetamine,f1d52bd9-5485-4a86-9196-44396c3034ef,,20,,
Aripiprazole,41f80e56-9e7e-494a-8b0e-5175d471a2f4,,21,,
Atomoxetine,07bad7b0-2fcf-4bb0-9c91-3e1cc0df0daa,,22,,
Atropine,2ac1445d-a7ad-464b-8cc8-e44891808f55,,23,,
Barbiturates,12a5f027-37fe-44b8-82ec-7531970691f7,,24,,
Benzodiazepines,a4be6ddf-181f-4b05-b87d-f816a6bc2385,,25,,
Benzoylecgonine,2dbf4caf-9f34-44bc-bd52-30fd1594f72d,,26,,
Benztropine,97dce28b-2608-435c-ab68-8d1438703c1d,,27,,
Bromazepam,cb9459b5-ff5a-4420-93af-3fa4933da6de,,28,,
Brompheniramine,dab47752-dee4-4301-8c7a-cdf286177e8f,,29,,
Buprenorphine,f77a0459-8550-4d7b-8145-8e0c5c334ad3,,30,,
Buprenorphine / Metabolite,6fff386e-b387-4d3c-89db-b7ee97d61abe,,31,,
Bupropion,bd9b7438-8ef5-4deb-9c3d-45b9c839f986,,32,,
Bupropion Metabolite,c1f8b1c6-ad41-469e-91a0-54eb970ef7b0,,33,,
Buspirone,76910bfb-3508-42da-abcb-c9b6053d94f9,,34,,
Butalbital,961cb1e3-7ce6-4296-b880-396c9fd27918,,35,,
Butorphanol,6e4dbce5-f8ef-46fb-8687-6068005f562c,,36,,
Butylone,640bc468-b0e7-4a15-8802-8200e70093e5,,37,,
Butyrylfentanyl,705916d6-d344-437d-8bee-0ba2e1ad3dd6,,38,,
Caffeine,6b975b24-f2d4-4d97-a25f-1d6f08d2eca7,,39,,
Cannabinoids,d5ecefb1-f627-4b13-aa45-ac065d11062c,,40,,
Carbamazepine,fbd6fa0d-4348-4d2a-8cd3-3e39c9228b2f,,41,,
"Carbamazepine-10,11-Epoxide",f1d715ac-9bd2-46a8-8714-4ae55769c186,,42,,
Carfentanil,753e3cd9-e4ab-458d-99b5-18f44fc65fe8,,43,,
Carisoprodol,3d0b6adf-0138-4623-9049-eee064197f23,,44,,
Chlordiazepoxide,3e160475-922e-48b6-abf4-f22e7031b06d,,45,,
Chlorpheniramine,19c3c7bc-5e21-4d6c-b83e-41f60c03727a,,46,,
Chlorpromazine,7740180a-c527-42a8-8a58-0673131454d7,,47,,
Citalopram / Escitalopram,5c3259b7-7b08-4b03-89f2-767c67d9d45d,,48,,
Clobazam,8d5c03b1-4833-4445-9cc4-619740bb5315,,49,,
Clomipramine,f486547b-f793-43d8-ae21-091503f3363e,,50,,
Clonazepam,7ea73240-75d8-43fe-ab9d-ec58233a3026,,51,,
Clonazolam,19ddcc30-d7bc-4f64-a6ae-eb3bb99c30d2,,52,,
Clonidine,d21583c6-0d41-4f06-adad-6c91ceeade18,,53,,
Clozapine,a7cb5a45-e78e-4fdb-b25b-92805c2759e1,,54,,
Cocaethylene,16df1941-2056-4ffe-9380-d223e618ef1d,,55,,
Cocaine,95199246-6261-4a91-bfb0-cdbd31518fde,,56,,
Cocaine / Metabolites,932880f1-8992-43a2-8428-cc1f3e8d2663,,57,,
Codeine,c88d3e18-c8c3-44c0-8894-eed0046f7659,,58,,
Cotinine,20f08490-c96a-4180-9f29-42f30d773dd1,,59,,
Cyclobenzaprine,ff5c17f0-4dd3-4dcc-97b5-e5cbff88bfc0,,60,,
Cyclopropylfentanyl,cb440efd-523b-4ded-860c-44ee1610bb4a,,61,,
Delorazepam,478797e5-8e09-4c01-a247-6763e11ac4b0,,62,,
Desalkylflurazepam,a4b92e58-d650-4407-a8a8-e94227c48a08,,63,,
Descarboethoxyloratadine,70f10425-5720-470b-81f4-e494349148b7,,64,,
Desipramine,b184a863-1929-4e74-8126-7781edffa7a6,,65,,
Desmethylcitalopram,6e8f5746-a487-4bf7-83ac-49a92732dde9,,66,,
Desmethylclomipramine,01dc101e-039e-48d7-baef-9ec217ad3426,,67,,
Desmethyldoxepin,b4d1a090-8614-43a4-a6e2-821161f75b4e,,68,,
Desmethylloperamide,ace84882-f74f-4fa8-b76f-e410d6e1faba,,69,,
Desmethylmirtazapine,f9d421eb-dd5e-4b4c-8a1d-fcbc46b7140e,,70,,
Desmethylsertraline,4abb1d07-a1f8-4d8c-a8be-497d0df1ae0f,,71,,
Desmethyltrimipramine,78761872-1c16-4a9d-b272-210cd4dd546b,,72,,
Dextro / Levo Methorphan,b96f62ac-5318-4f79-9941-380642acc10c,,73,,
Dextrorphan / Levorphanol,b5974058-9ca9-4afd-bba2-ef103a890f7e,,74,,
Diazepam,52838915-f436-44fa-87b2-e8d324e1883f,,75,,
Dibutylone,bff43521-ec1a-4c25-a5ca-d02e2b1ca690,,76,,
Dicyclomine,ba7bd2c8-312c-47d5-a41c-bfa3b2a49cc6,,77,,
Dihydrocodeine / Hydrocodol,06af4a0b-c043-4ced-88a4-9fad731ad875,,78,,
Diltiazem,f185ec6f-b3d2-47a3-bfc3-d220e26a400c,,79,,
Diphenhydramine,e81ac6e2-7aa8-42bf-9507-99a3b6813890,,80,,
Donepezil,319d0874-21c7-440d-8927-76abdc9d4a45,,81,,
Doxepin,3386e2d8-eff8-49bb-97c3-4a8dbaf2b230,,82,,
Doxylamine,9ff60630-2b30-4895-854b-eef22f2bd5df,,83,,
Duloxetine,38246ac9-967b-4475-9944-3816cf867c23,,84,,
Duloxetine Breakdown Product,113687f3-572c-44e4-b8ca-e246352dded3,,85,,
EDDP,bb330559-56b6-4d9b-8d29-bbd748629d52,,86,,
Ephedrine,1b36cdd1-5a8c-4894-9a7f-b1ff2a6aefe4,,87,,
Ephedrine / Pseudoephedrine,799079f2-0fc0-44b7-9db7-df01a5244dd5,,88,,
Estazolam,f0921d93-9854-41b1-bce9-ef1d01038626,,89,,
Eszopiclone / Zopiclone,c5beb789-8730-4604-8155-1d762eedb9d8,,90,,
Eszopiclone / Zopiclone Breakdown,2faa52a6-d316-4d5b-9ff2-9ba7f10abd98,,91,,
Ethanol,d9351134-0651-4c2a-bb01-ca982356a7cf,,92,,
Ethinamate,2a85e022-260d-4411-bb8a-a763ff6915f2,,93,,
Ethosuximide,b6a549f9-61eb-49cc-83cd-3aa237fe2488,,94,,
Ethotoin,484de15c-2a79-4f79-9f20-3f2a0efe980d,,95,,
Ethylmorphine,8688c935-def0-4a64-ac5f-301887af4d52,,96,,
Etizolam,64f629e5-56b4-4e2a-ac6a-e6b782b77fb6,,97,,
Felbamate,c00a13ac-8230-4908-864f-db7eace0f80e,,98,,
Fentanyl,f03f16e2-aea3-4ff0-a5e1-7aa4af6c73ba,,99,,
Flecainide,7b51ad64-3f6b-482b-b6a9-bcf925824a85,,100,,
101/#/Flubromazepam/#/|,ed812ea7-6198-4849-ad1e-778234b30d90,,101,,
102/#/Flubromazolam/#/|,8e612200-3a64-40eb-af61-5b328caa5e80,,102,,
103/#/Fluconazole/#/|,905ed5e8-1521-4de1-bb5b-cfc5fa7d4925,,103,,
104/#/Flunitrazepam/#/|,7c9d5570-6f09-411b-afa6-e621b434864b,,104,,
105/#/Fluoxetine/#/|,f6fa32ca-ab54-4998-8be5-fa66b7d96b2f,,105,,
106/#/Fluphenazine/#/|,a0afd50a-a48e-49c7-9321-e39d2a417680,,106,,
107/#/Flurazepam/#/|,78abb9e1-092c-4932-8038-3154df6ed3e3,,107,,
108/#/Fluvoxamine/#/|,d09aec37-c6ba-495c-b2f9-716d8d3deac2,,108,,
109/#/Gabapentin/#/|,1b439b66-759b-4b01-8950-9bd85bb0eda8,,109,,
110/#/Gabapentin Breakdown Product/#/|,3addb8f9-88ec-468d-a18e-afca6cec806d,,110,,
111/#/Guaifenesin/#/|,84987f69-855c-4950-9abd-ab57cfcd6253,,111,,
112/#/Haloperidol/#/|,98cab2fb-1276-46ef-a175-076b2cef12a4,,112,,
113/#/Hexobarbital/#/|,0f4ba022-94bc-48c3-8b34-9b157e118b6a,,113,,
114/#/Hydrocodone/#/|,736da9b6-9411-4a23-a9b5-09742f6e8db2,,114,,
115/#/Hydromorphone/#/|,ef27fd42-5da5-4a71-8c12-9389976b943e,,115,,
116/#/Hydroxybupropion/#/|,db64cd4f-08b5-45cf-8001-97b8cb7f4219,,116,,
117/#/Hydroxychloroquine/#/|,f07e172f-3b7a-46d9-96ad-907ff6c244e9,,117,,
118/#/Hydroxyethylflurazepam/#/|,e06ba011-b8dc-4de5-abd4-96130c038f77,,118,,
119/#/Hydroxytriazolam/#/|,9dbd3ff8-0c0b-4792-b24b-5cb15487940b,,119,,
120/#/Hydroxyzine/#/|,97efafcd-ed39-46d2-b8f5-3856c4cfa46d,,120,,
121/#/Ibuprofen/#/|,cea1f8a8-4dfc-4f7e-a89f-f81f72ed6490,,121,,
122/#/Iloperidone/#/|,a2b5d268-a83b-4873-a144-f06ffbf0664c,,122,,
123/#/Imipramine/#/|,20d4550f-c344-455b-8128-4ea5200d76b5,,123,,
124/#/Isopropanol/#/|,29feebf4-131b-4132-a88e-6a00096abdbb,,124,,
125/#/Ketamine/#/|,0119435f-5689-4386-bfe3-4ec66691f84a,,125,,
126/#/LSD/#/|,46615c8e-a024-4438-b0df-be00800119ed,,126,,
127/#/Lacosamide/#/|,24e87633-5302-4d1c-b83d-fa45cde5ec7d,,127,,
128/#/Lamotrigine/#/|,129a8655-9056-40b9-862b-d97121861a64,,128,,
129/#/Levamisole/#/|,62e0cfca-5aa1-43e6-8b75-1eebc3bf43ee,,129,,
130/#/Levetiracetam/#/|,0a0cbff6-ed4d-495b-bb0a-340e91351f94,,130,,
131/#/Lidocaine/#/|,f72444be-2427-4c8b-8b5d-89c3180017ab,,131,,
132/#/Loperamide/#/|,22583943-a0cf-49ec-8327-3da0f3202c4c,,132,,
133/#/Loratadine/#/|,6f59b3af-16e4-4bb5-9def-f3b965d90867,,133,,
134/#/Lorazepam/#/|,538e1ebc-36af-40ef-888c-58f12cf722f4,,134,,
135/#/Loxapine/#/|,ce8c942a-3e9b-4893-9d83-7413a226e8a1,,135,,
136/#/MDA/#/|,86ec7e4d-ba0d-4ce4-a401-4ef45c3ef16f,,136,,
137/#/MDEA/#/|,1af8ae41-cca2-47ea-a287-f56caec6ddac,,137,,
138/#/MDMA/#/|,b195b5c1-238e-4b72-b706-cd476a922585,,138,,
139/#/Meclizine/#/|,c3340e0f-c68b-42e2-9480-48f80168738b,,139,,
140/#/Memantine/#/|,64a0bc78-c80e-46b2-8f06-0b8e2f889f35,,140,,
141/#/Meperidine/#/|,e096f3af-d804-41bc-bdf0-a26774bf6558,,141,,
142/#/Mepivacaine/#/|,b7bf8d13-9a9d-41ba-a899-6af69c019f10,,142,,
143/#/Meprobamate/#/|,c9f22ccb-e507-45e2-98f3-5a76f6cd4fbf,,143,,
144/#/Mescaline/#/|,ff8380e1-9cf7-4e84-b26c-d2716abc4728,,144,,
145/#/Mesoridazine/#/|,92f2efcd-5743-4aa3-944a-529f1201b61e,,145,,
146/#/Metaxalone/#/|,4ff7cf89-2b82-465b-b668-1840a9474401,,146,,
147/#/Methadone/#/|,0e2e6066-06e2-4551-82f2-28a99098efd9,,147,,
148/#/Methamphetamine/#/|,a1d4d5ef-9632-4fcd-991e-704dcb69bd2e,,148,,
149/#/Methanol/#/|,eb469bbe-9112-4521-9e52-c51e8a720d95,,149,,
150/#/Methaqualone/#/|,cdd71beb-ddd5-4c0c-9906-dc6a77628070,,150,,
151/#/Methocarbamol/#/|,caa0e1f5-1209-41d2-8561-f31b53bda9b0,,151,,
152/#/Methoxetamine/#/|,7c597b95-2b34-412a-a27a-3c39725a99d6,,152,,
153/#/Methylphenidate/#/|,5a09d59e-f322-4372-b115-f4780504bd2b,,153,,
154/#/Metoprolol/#/|,2de1a10f-02f8-4521-a918-719e422d3b5f,,154,,
155/#/Metronidazole/#/|,fc82a6c7-680b-4500-941a-164e95fa6304,,155,,
156/#/Midazolam/#/|,edcffcda-0aef-4cd9-b0c8-1bc3700eeac4,,156,,
157/#/Milnacipran/#/|,bb97bcb6-5d17-4cb0-96c3-efc6e1cc9f85,,157,,
158/#/Mirtazapine/#/|,862001a5-be68-4b7e-90c5-40081ccf8f81,,158,,
159/#/Mitragynine/#/|,558f3a6e-af71-43ff-9a92-3e1fe634312d,,159,,
160/#/Monoethylglycinexylidide (MEGX)/#/|,115bbdb6-c8e6-402b-8de9-a3e97b5ed190,,160,,
161/#/Morphine/#/|,ca10cd79-7ec4-4918-9478-f18d02f42c94,,161,,
162/#/N-Acetylprocainamide/#/|,3f1a9272-1fe5-47dc-9d69-fa0c1a607e71,,162,,
163/#/N-ethyl Pentylone/#/|,7ea62c4a-cc56-4f7a-92eb-49c7a0a72a2f,,163,,
164/#/Nalbuphine/#/|,8c1bfdb7-9a24-43d9-9e90-7cb43e90da7a,,164,,
165/#/Naloxone/#/|,d4e11199-d883-4552-95c4-54b5264c61f3,,165,,
166/#/Naltrexone/#/|,c39f69da-514e-4c70-9a78-a1345e9c6fe5,,166,,
167/#/Naltrexone - Free/#/|,2588d6b0-4740-4b99-b039-2a2e1500fec3,,167,,
168/#/Naproxen/#/|,102a51e3-666c-4bf2-9d47-7d4258208b07,,168,,
169/#/Naproxen Breakdown Product/#/|,1ff7d66a-52e9-4163-b927-35c4e3ff4748,,169,,
170/#/Nicotine/#/|,2c74bd57-7a35-4bf7-bc89-a49ed1203cf9,,170,,
171/#/Norbuprenorphine - Free/#/|,43cb3275-27a0-4a72-bc68-70023625f543,,171,,
172/#/Norclozapine/#/|,b4ce5015-f9c5-44e3-b24f-a8dbf110b192,,172,,
173/#/Norcodeine/#/|,64184e24-3fbf-4ce4-b0dd-3442a8cf0977,,173,,
174/#/Norcyclobenzaprine/#/|,f4d7e559-9850-4b7a-9e4d-bd0debef01bf,,174,,
175/#/Nordiazepam/#/|,78fa025e-1b2c-4795-b955-d4bb90968612,,175,,
176/#/Norfentanyl/#/|,776a76d0-afd2-4a51-9755-f406911a6106,,176,,
177/#/Norflunitrazepam/#/|,af4c386b-214a-460a-ad89-b40afe0ef3c5,,177,,
178/#/Norfluoxetine/#/|,5653cc0d-a74d-4697-8a2b-59e108bb6daa,,178,,
179/#/Norhydroxyzine/#/|,83ba2276-e0c5-4db2-8c44-36990c7f6561,,179,,
180/#/Norketamine/#/|,729ab87b-258b-47ac-ae5a-02a58e30adca,,180,,
181/#/Normeperidine/#/|,79754abc-18bd-4f7f-8b36-5b4b8ff98aec,,181,,
182/#/Norpropoxyphene/#/|,bc37d223-9905-41dd-86b2-07e509c26128,,182,,
183/#/Norpseudoephedrine/#/|,2d185a83-e639-47ed-9500-d122b1e0bf4a,,183,,
184/#/Norpseudoephedrine / Phenylpropanolamine/#/|,01d7a03e-9ed4-4ed5-98ba-6914d4d2e8ad,,184,,
185/#/Nortriptyline/#/|,bfafd188-8b5b-4b22-9ffd-a85c0d3ee5db,,185,,
186/#/O-Desmethyltramadol/#/|,969205d5-6378-432f-bc5d-b06ca4d56b58,,186,,
