BICAN label,BICAN UUID,Aliases,Code,Description,Ontology ID
TBD,8a641dd8-10b8-4f24-b8a7-75012dfe739c,,1,,
Miami,295e3824-80d9-41ce-afe5-c0cc86c233f6,,2,,
Mt. Sinai,9e18aca6-8bca-4a1e-b850-4fe770edaf1b,,3,,
Sepulveda,259b038f-dea7-4f6e-a9de-dcda5b26c102,,4,,
Harvard,35d4f7fd-dfb0-4bbb-801b-0972706bd359,,5,,
Maryland Psychiatric,0e67fb7a-fa6d-435f-bf93-a353ddb06205,,8,,
HBCC,a132e1a3-ff0c-4cd1-b81f-7ab121900fa7,,9,,
Maryland,ceb0ab10-f79e-48d9-9c6a-794ad26d4954,,7,,
Pittsburgh,9cde7830-8c40-43fa-881c-faa20fed49c3,,6,,
UCLA,f8f2c80d-53af-448f-92d7-564ca3016278,,10,,
