BICAN Label,BICAN UUID,Aliases,Code,Description,Ontology ID
adipose,e3fe815b-3a7e-415c-8982-bfcb8fcadeeb,integumentary,1,Portion of connective tissue composed of adipocytes enmeshed in areolar tissue.,UBERON:0001013
adrenal,59c5626b-2e2f-4f18-b9c2-779d945bfabb,endocrine,2,Tissue that is part of some adrenal gland.,UBERON:0018303
anus,1abe59f9-48b5-45de-b00f-1ae49c0fb18e,gastrointestinal,3,"Orifice at the opposite end of an animal's digestive tract from the mouth. Its function is to expel feces, unwanted semi-solid matter produced during digestion, which, depending on the type of animal, may be one or more of: matter which the animal cannot digest, such as bones; food material after all the nutrients have been extracted, for example cellulose or lignin; ingested matter which would be toxic if it remained in the digestive tract; and dead or excess gut bacteria and other endosymbionts.",UBERON:0001245
aorta,4f6fd9a1-902b-44db-876d-3d072ffb164a,cardiovascular,4,"The main trunk of the systemic arterial system that carries blood from the heart to all the organs and other structures of the body, bringing oxygenated blood to all parts of the body in the systemic circulation.",UBERON:0000947
appendix,3ad722f9-acd6-49b5-91a3-c676899460c0,gastrointestinal,5,"A blind-ended tube connected to the cecum, from which it develops embryologically.",UBERON:0001154
artery,9c68f217-3b3e-4c33-bb3f-b832c8d4b075,cardiovascular,6,An epithelial tube or tree of tibes that transports blood away from the heart.,UBERON:0001637
ascending colon,d2e9032f-fd8a-4662-9760-8119d8420ccc,,7,Section of colon which is distal to the cecum and proximal to the transversecolon.,UBERON:0001156
astrocytes,1cecad6c-a12c-4829-b38e-e16b6ee9d8f2,other,8,"A class of large neuroglial (macroglial) cells in the central nervous system - the largest and most numerous neuroglial cells in the brain and spinal cord. Astrocytes (from 'star' cells) are irregularly shaped with many long processes, including those with 'end feet' which form the glial (limiting) membrane and directly and indirectly contribute to the blood-brain barrier. They regulate the extracellular ionic and chemical environment, and 'reactive astrocytes' (along with microglia) respond to injury. Astrocytes are reportedly CD68-negative, CD121a-positive, CD184-positive, CD192-positive, CRF-positive, EGFR-positive, GFAP-positive, GLUT1-positive, MBP-negative, and NGFR-positive.",CL:0000127
bladder,1751738e-12d2-4044-b630-e8d1a2e7b982,urinary,9,Distensible musculomembranous organ situated in the anterior part of the pelvic cavity in which urine collects before excretion.,UBERON:0001255
bone rib,73029fb6-9901-4265-9017-90249d37c9b1,musculo skeletal,10,An intersegmental rod-shaped bone that forms in the peritoneal membrane and attach to the vertebral parapophyses.,UBERON:0002228
breast,caa1fa16-7a7e-4152-a0d6-33f7d19e681c,endocrine,11,The upper ventral region of the torso of an organism.,UBERON:0000310
bronchus,7567747b-fef3-462d-b319-17e1de85583d,respiratory,12,The upper conducting airways of the lung; these airways arise from the terminus of the trachea.,UBERON:0002185
