Proposed BICAN Field Name,BICAN UUID,Label,Variable (short) Name,definition,short description,human readable label,is_required,permissible values (incl. null),description (permissible values),data type,version number,version date,sub domain name,domain name,size,input resctrictions,min value,max value,measurement type
alignment_output_label,1ca34909-2923-4219-848e-c7c250ec92cd,alignment_output_label,,A string that serves as a label (name) for an alignment output.,,,,,,string,1,2023-05-24,,,,,,,
alignment_output_created_by_process_id,66caedfa-add6-4e8a-bb45-03cc9d90c149,alignment_output_created_by_process_id,,An identifier of the process that created an alignment output.,"Typically a cell by gene (Rseq) matrix or cell by feature/fragment (ATAC) matrix, where each row is a unique barcoded cell within a barcoded_cell_sample (eg a 10x port).",,,,,string,1,2023-05-24,,,,,,,
alignment_output_path,6015464d-6820-4baf-bc7a-a601c0507085,alignment_output_path,,A path to the alignment output for a specific alignment process.,,,,,,string,1,2023-05-24,,,,,,,
alignment_output_barcoded_cell_sample_label,754281ea-94c6-47d8-aab4-7443b6132004,alignment_output_barcoded_cell_sample_label,,A label of the barcoded cell sample associated with an alignment output.,Cells are identified during alignment and cell barcodes are only unique within a barcoded_cell_sample_label.,,,,,string,1,2023-05-24,,,,,,,
alignment_output_entity_label,0d27affc-bb94-405e-81df-ffdbbc735e5d,alignment_output_entity_label,,A label of the primary output entity (alignment output) of an alignment process.,"Typically a cell by gene (Rseq) matrix or cell by feature/fragment (ATAC) matrix, where each row is a unique barcoded cell within a barcoded_cell_sample (eg a 10x port).",,,,,string,1,2023-05-24,,,,,,,
alignment_process_id,ae61d258-5f16-42a2-90cc-1279d87384a6,alignment_process_id,,An identifier used to refer to an alignment process.,The alignment of sequencing output for a library aliquot with respect to a specific reference genome assembly and annotation build.  When a barcoded_cell_sample generates more than one library aliquot there will be sequencing output for each library aliquot.  These sequencing outputs will be merged and go through alignment process as one set of merged outputs.,,,,,string,1,2023-05-24,,,,,,,
alignment_input_entity_label,ec7344d5-e6f9-46ed-8f0c-d6d0591b3656,alignment_input_entity_label,,A label of the primary input entity (library_aliquot) of an alignment process.,,,,,,string,1,2023-05-24,,,,,,,
alignment_input_process_id,671b4be4-a12b-4d34-856d-300fa28a3c69,alignment_input_process_id,,An identifier of the alignment input process.,,,,,,string,1,2023-05-24,,,,,,,
alignment_input_library_pool_sequencing_process_id,d8fa34ad-ab7c-418b-b0ce-a48ced53dff6,alignment_input_library_pool_sequencing_process_id,,An identifier of the library pool sequencing process for alignment input. ,,,,,,string,1,2023-05-24,,,,,,,
alignment_input_barcoded_cell_sample_id,2f2b32db-0a86-499a-b4e4-08fbef3eab96,alignment_input_barcoded_cell_sample_id,,A label of the barcoded cell sample associated with the input library aliquot.,Cells are identified during alignment and cell barcodes are only unique within a barcoded_cell_sample_label.,,,,,string,1,2023-05-24,,,,,,,
library_pool_sequencing_output_created_by_process_id,61d2cdf1-3ea0-4695-a8b0-debe6bc79fd0,library_pool_sequencing_output_created_by_process_id,,An identifier of the process that created a library pool sequencing output. ,Output from the sequencing of a library pool.  These are typically fastq files.  One set of fastq files for each (indexed) library aliquot in the pool.,,,,,string,1,2023-05-24,,,,,,,
library_pool_sequencing_output_fastq_file_path,54dfb80a-c86b-4c85-a05e-37a8eb136c41,library_pool_sequencing_output_fastq_file_path,,A path to a the fastq file for a specific library aliquot.,,,,,,string,1,2023-05-24,,,,,,,
library_pool_sequencing_output_fastq_file_type,69381fb6-39a2-41d9-b69a-743398016e15,library_pool_sequencing_output_fastq_file_type,,"A Fastq file type that is an output from a library pool sequencing process. For example, R1, R2, R3, I1 and I2.",,,,,,string,1,2023-05-24,,,,,,,
library_pool_sequencing_output_library_aliquot_label,7325a944-f9d6-4314-8e96-323496242736,library_pool_sequencing_output_library_aliquot_label,,An identifer of a library aliquot associated with a fastq file.,,,,,,string,1,2023-05-24,,,,,,,
library_pool_sequencing_input_entity_label,a6ee19dc-8e46-4993-9da9-81aeb0f63462,library_pool_sequencing_input_entity_label,,A label of the primary input of a library pool sequencing process.,library_pool,,,,,string,1,2023-05-24,,,,,,,
library_pool_sequencing_process_id,f5f0d55e-006e-4b0e-a502-f4a7f5673e8c,library_pool_sequencing_process_id,,An identifier of a library pool sequencing process.,The sequencing of a library pool.,,,,,string,1,2023-05-24,,,,,,,
library_pool_sequencing_vendor_read_count,c3f96263-7f6b-4031-b715-f17ee1ccaf7a,library_pool_sequencing_vendor_read_count,,The number of pass filter reads assigned to an indexed library aliquot.,Number of Pass Filter reads assigned to an indexed Library_Aliquot,,,,,integer,1,2023-05-24,,,,,,,
library_pool_label,29e0578b-6427-4c93-b29b-bde27fbadeec,library_pool_label,,A string that can be used to refer to a specific entity.,"A library pool is constructed from a set of aliquots from a defined set of input libraries, where each library has a unique index within the pool.",,,,,string,1,2023-05-24,,,,,,,
library_pool_created_by_process_id,871fe632-54f2-433c-8734-6045d5f9203f,library_pool_created_by_process_id,,An identifier for a process that created a library pool.,,,,,,string,1,2023-05-24,,,,,,,
library_pool_tube_avg_size_bp,cf1b7c96-cdc1-4eed-8e76-ac44fbd151f7,library_pool_tube_avg_size_bp,,The average size of the pooled libraries given in terms of base pairs.,Average size of the pooled libraries in terms of bp.,,,,,integer,1,2023-05-24,,,,,,,
library_pool_tube_contents_nm,32f2d02b-7300-4554-aa93-6de6e456eda7,library_pool_tube_contents_nm,,The concentration of the library pool in terms of nM (nMol/L).,Concentration of the library pool in terms of nM (nMol/L).,,,,,float,1,2023-05-24,,,,,,,
