Proposed BICAN Field Name,Aliases,LinkML Class,Definition,Nullable,Permissible Values,Data Type,Data Examples,Min Value,Max Value,Unit,Statistical Variable Type,Subsets,Notes
histological stain name,bil:Image/Channel/Fluorophore,Anatomical Stain,Name of histological stain applied to tissue ,TRUE,histological_stain_name,ValueSet,GFAP,,,,categorical,,
nuclear stain name,bil:Image/Channel/Fluorophore,Nuclear Stain,Name of nuclear stain applied to tissue,FALSE,nuclear_stain_name,ValueSet,DAPI,,,,categorical,,
probe set DOI,bil:Dataset/Methods,Bench Chemistry,"List of genes for which probes were made in imaging-based methods; protocols.io doi to a text file that contains the name of all target genes, the ensembl or NBCI id for the targeted id, and the barcode assigned to each targeted RNA if applicable.",FALSE,,text,,,,,continuous,Analysis,
probe sequences DOI,bil:Dataset/Methods,Bench Chemistry,List of probe sequences used to target genes for imaging-based methods,TRUE,,text,,,,,continuous,,
number of targeted RNAs,,Bench Chemistry,Number of RNAs targeted in this experiment.,FALSE,,integer,,1,,,continuous,,
light treatment time,,Bench Chemistry,Duration of light treatment if applied,TRUE,,float,20,0,,,continuous,,
light treatment time units,,Bench Chemistry,Units for the light treatment time,TRUE,light_treatment_time_units,ValueSet,m,,,,categorical,,
platform name,bil:Instrument/MicroscopeManufacturerAndModel,Probe Imaging,Name of platform that was used to acquire spatial transcriptomics,FALSE,platform_name,ValueSet,MERSCOPE,,,,categorical,Analysis,
machine name,,Probe Imaging,Name/ID of machine used to acquire data,TRUE,,text,Flounder10,,,,categorical,,
machine software version,,Probe Imaging,Version of software used for imaging (e.g. SoftwareVersion from experiment.json in MERSCOPE),TRUE,,text,232.221125.301,,,,categorical,,
number of z-sections,bil:Image/Channel/Slices,Probe Imaging,Slice number in z-axis,FALSE,,integer,,1,,,continuous,,
x-axis,bil:Image/Orientation/xAxis,Probe Imaging,The predominant tissue direction as one moves from the left side of the image to the right side of the image,FALSE,image_orientation,ValueSet,,,,,categorical,,
y-axis,bil:Image/Orientation/yAxis,Probe Imaging,The predominant tissue direction as one moves from the top of the image to the bottom of the image.,FALSE,image_orientation,ValueSet,,,,,categorical,,
z-axis,bil:Image/Orientation/zAxis,Probe Imaging,The predominant tissue direction as one follows a given pixel position through the stack of images from the first image to the last image.,FALSE,image_orientation,ValueSet,,,,,categorical,,
channel number,bil:Image/Channel/Number,Probe Imaging,Number assigned to each channel,TRUE,,integer,,,,,continuous,,
channel display color,bil:Image/Channel/displayColor,Probe Imaging,"DisplayColor of each channel in triplet (Red,Green,Blue) format",TRUE,,text,,,,,categorical,,
channel representation,bil:Image/Channel/Representation,Probe Imaging,"What the channel represents (rhodopsin, virus, etc.)",TRUE,,text,,,,,categorical,,
stepsize-x,bil:Image/Size/stepSizeX,Probe Imaging,Physical step size in X dimension (e.g. pixel size represents how many microns),FALSE,,float,0.018,,,microns,continuous,,
stepsize-y,bil:Image/Size/stepSizeY,Probe Imaging,Physical step size in Y dimension (e.g. pixel size represents how many microns),FALSE,,float,0.018,,,microns,continuous,,
stepsize-z,bil:Image/Size/stepSizeZ,Probe Imaging,Distance between the center of one image and the center of adjacent images in Z dimension (space in microns between slices),FALSE,,float,1.5,,,microns,continuous,,
