Proposed BICAN Field Name,BICAN UUID,Aliases,LinkML Class,Definition,Nullable,Permissible Values,Data Type,Data Example,Min Value,Max Value,Unit,Statistical Variable Type,Subsets,Version Date
donor local name,,donor_local_name,,,,,string,,,,,,,
access level,,access_level|consent status,,,,"unrestricted, controlled",categorical,,,,,,,
data use limitation,,data_use_limitation,,"A data item that is used to indicate consent permissions for datasets and/or materials, and relates to the purposes for which datasets and/or material might be removed, stored or used.",,"No Restrictions, General Research Use, Health/Medical/Biomedical, Disease-specific",categorical,,,,,,,
disease specification,,disease_specification,,,,[disease ValueSet],categorical,,,,,,,
IRB approval required,,irb_approval_required,,,,,boolean,,,,,,,
publication required,,publication_required,,,,,boolean,,,,,,,
collaboration required,,collaboration_required,,,,,boolean,,,,,,,
not for profit use only,,not_for_profit_use_only,,,,,boolean,,,,,,,
methods,,methods,,,,,boolean,,,,,,,
genetic study only,,genetic_study_only,,,,,boolean,,,,,,,
IC form local name,,ic_form_local_name,,,,,string,,,,,,,
IC form effective date,,ic_form_effective_date,,,,,datetime,,,,,,,
project identifier,,project_identifier,,,,,string,,,,,,,
cohort tag,,cohort_tag,,,,,string,,,,,,,
