donor_local_name,ic_form_local_name,cohort_tag
H23.26.406,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_UW_Neurosurgical_Controlled_DS-BHD,University of Washington
H23.03.305,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_UW_Neurosurgical_Controlled_DS-BHD,University of Washington
H23.29.239,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_Amsterdam_UMC_Neurosurgical_Controlled_HMB,Amsterdam UMC
H23.29.240,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_Amsterdam_UMC_Neurosurgical_Controlled_HMB,Amsterdam UMC
H24.29.262,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_Amsterdam_UMC_Neurosurgical_Controlled_HMB,Amsterdam UMC
H23.29.256,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_Amsterdam_UMC_Neurosurgical_Controlled_HMB,Amsterdam UMC
H23.29.251,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_Amsterdam_UMC_Neurosurgical_Controlled_HMB,Amsterdam UMC
H23.26.405,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_UW_Neurosurgical_Controlled_DS-BHD,University of Washington
H24.26.406,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_UW_Neurosurgical_Controlled_DS-BHD,University of Washington
H24.28.007,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_U_of_Szeged_Neurosurgical_Open,University of Szeged
H24.26.405,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_UW_Neurosurgical_Controlled_DS-BHD,University of Washington
H22.28.030,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_U_of_Szeged_Neurosurgical_Open,University of Szeged
H23.03.304,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_UW_Neurosurgical_Controlled_DS-BHD,University of Washington
H22.28.031,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_U_of_Szeged_Neurosurgical_Open,University of Szeged
H22.28.032,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_U_of_Szeged_Neurosurgical_Open,University of Szeged
H23.03.309,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_UW_Neurosurgical_Controlled_DS-BHD,University of Washington
H23.28.018,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_U_of_Szeged_Neurosurgical_Open,University of Szeged
H23.28.019,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_U_of_Szeged_Neurosurgical_Open,University of Szeged
H23.03.308,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_UW_Neurosurgical_Controlled_DS-BHD,University of Washington
H23.29.247,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_Amsterdam_UMC_Neurosurgical_Controlled_HMB,Amsterdam UMC
H23.28.022,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_U_of_Szeged_Neurosurgical_Open,University of Szeged
H23.28.025,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_U_of_Szeged_Neurosurgical_Open,University of Szeged
H24.26.403,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_UW_Neurosurgical_Controlled_DS-BHD,University of Washington
H23.28.021,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_U_of_Szeged_Neurosurgical_Open,University of Szeged
H23.28.023,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_U_of_Szeged_Neurosurgical_Open,University of Szeged
H23.28.024,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_U_of_Szeged_Neurosurgical_Open,University of Szeged
H24.51.001,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_SCH_Neurosurgical (Adolescent)_Controlled_DS-BHD,Seattle Children's Hospital
H24.26.402,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_UW_Neurosurgical_Controlled_DS-BHD,University of Washington
H24.06.351,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_SNI_Neurosurgical_Controlled_GRU,Swedish Neuroscience Institute
H23.03.307,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_UW_Neurosurgical_Controlled_DS-BHD,University of Washington
H23.28.016,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_U_of_Szeged_Neurosurgical_Open,University of Szeged
H23.28.015,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_U_of_Szeged_Neurosurgical_Open,University of Szeged
H23.29.245,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_Amsterdam_UMC_Neurosurgical_Controlled_HMB,Amsterdam UMC
H23.28.017,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_U_of_Szeged_Neurosurgical_Open,University of Szeged
H23.29.246,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_Amsterdam_UMC_Neurosurgical_Controlled_HMB,Amsterdam UMC
H23.03.303,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_UW_Neurosurgical_Controlled_DS-BHD,University of Washington
H23.28.010,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_U_of_Szeged_Neurosurgical_Open,University of Szeged
H23.28.011,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_U_of_Szeged_Neurosurgical_Open,University of Szeged
H23.28.009,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_U_of_Szeged_Neurosurgical_Open,University of Szeged
H23.26.404,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_UW_Neurosurgical_Controlled_DS-BHD,University of Washington
H23.28.003,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_U_of_Szeged_Neurosurgical_Open,University of Szeged
H23.06.351,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_SNI_Neurosurgical_Controlled_GRU,Swedish Neuroscience Institute
H23.28.004,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_U_of_Szeged_Neurosurgical_Open,University of Szeged
H22.28.029,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_U_of_Szeged_Neurosurgical_Open,University of Szeged
H23.28.005,GDS_Extraumural_Certification_Lein-Zeng_UM1MH130981_U_of_Szeged_Neurosurgical_Open,University of Szeged
