Proposed BICAN Field Name,BICAN UUID,Aliases,LinkML Class,Definition,Nullable,Permissible Values,Data Type,Data Example,Min Value,Max Value,Unit,Statistical Variable Type,Subsets,Version Date
local donor ID,f8af20f7-e8b8-47b5-8a68-9ec1f913ffdf,donor_local_name | donor local name,,An identifier that uniquely denotes objects only within the scope of a specific object aggregate and that is not registered in an identifier registry.,,,string,,,,,,,
access level,9f800e73-0d96-45cf-8e92-303e22e80aaf,access_level|consent status,,A data item that is used to indicate the level of access of a dataset (unrestricted or controlled).,,"unrestricted, controlled",categorical,,,,,,,
data use limitation,5a122436-5768-47eb-b028-6e2f6b5f1245,data_use_limitation,,"A data item that is used to indicate consent permissions for datasets and/or materials, and relates to the purposes for which datasets and/or material might be removed, stored or used.",,"No Restrictions, General Research Use, Health/Medical/Biomedical, Disease-specific",categorical,,,,,,,
disease specification,f76579b7-35b8-415f-ad2b-414f9ad555ac,disease_specification,,The dataset can be used only for research on a specific disease or related condition.,,[disease ValueSet],categorical,,,,,,,
IRB approval required,71a84ad6-44ba-44a3-a936-8267ac43a9d0,irb_approval_required,,A data item that is used to indicate whether or not IRB approval is required.,,,boolean,,,,,,,
publication required,432f1e56-7e1f-433d-aca4-5ac20afb4638,publication_required,,"A data item that is used to indicate whether or not a publication is required -- i.e., whether the requestor must chare their results with the larger scientific community.",,,boolean,,,,,,,
collaboration required,39ab79f3-6c21-423f-9670-4c5a4e9035ed,collaboration_required,,"A data item that is used to indicate whether or not collaboration is required -- i.e., whether the requestor must privide a letter of collaboration with the primary study investigators.",,,boolean,,,,,,,
not for profit use only,dc4e4bf5-a221-4989-af64-b2f21b0c1dd8,not_for_profit_use_only,,A data item that is used to indicate whether a dataset is designated for non-profit use. ,,,boolean,,,,,,,
methods,c5dfba12-4c1c-451e-b516-df95d5c9efd6,methods,,"The dataset can be used for methods research and development (e.g., development of statistical software or algorithms).",,,boolean,,,,,,,
genetic study only,0b3acf53-2643-46aa-9f45-f1ad9ecc9564,genetic_study_only,,The dataset can only be used only for genetic studies.,,,boolean,,,,,,,
IC form local name,a220b50e-7691-4385-ba35-90ce760be3c3,ic_form_local_name,,The name of IC form as it is used by a local entity.,,,string,,,,,,,
IC form effective date,6c0696fc-e6ec-45d2-9440-e61463228936,ic_form_effective_date,,The data at which the IC form is effective.,,,datetime,,,,,,,
project identifier,abd4e1df-9c8e-4560-9077-ace8358b26de,project_identifier,,The identifier that uniquely identifies a project.,,,string,,,,,,,
cohort tag,783ec297-f361-4a23-b78d-801bdb1e3fd3,cohort_tag,,A data item that indicates a cohort grouping.,,,string,,,,,,,
