BICAN Field Name,BICAN UUID,Description,NIMP Variable Name,NHash ID,Aliases,LinkML Class,LinkML Slot Name,Data Type,Permissible Values,Statistical Variable Type,Nullable,Min Value,Max Value,Unit,Subsets,NIMP Resource Subgroup,NIMP Display Name
Name of metadata field,UUID of field in BICAN Ecosystem,A detailed definition for this field ,Name of variable at NIMP,NHash ID for this field,Aliases for this metadata element in other schemas/resources,The LINKML class or data entity (e.g. purple or orange box in the workflow diagram) with which this metadata field is associated ,Slot name for this field in LinkML,Type of values in this field (integer; float; text; date),For fields that have values from a limited set; see Controlled Values table for entries,['categorical'; 'continuous'; 'ordinal'; 'boolean'],Are null values allowed,For measurements if applicable,For measurements if applicable,For measurements if applicable,Data use subset for this field,Resource subgroup at NIMP,Display name at NIMP
dissociated cell sample NHash ID,9b18ee42-7e93-44f1-a1d3-f811eb3b777b,NIMP generated globally unique identifier for a Dissociated Cell Sample,dissociated_cell_sample_nhash_id,PD-IDIDXT26,,Dissociated Cell Sample,,text,,categorical variable,FALSE,,,,,Identification,Dissociated Cell Sample NHash ID
dissociated cell sample cell label barcode,0c8628d0-809b-458c-b4b3-686131dceef8,Name of oligo used in cell plexing. The oligo will tag allow separate dissociated cell samples to be combined downstream in the barcoded cell sample. The oligo name is associated with a sequence in a lookup table. This sequence will be needed to during analysis (after alignment) to associate reads with parent dissociated cell sample.,dissociated_cell_sample_cell_label_barcode,PD-CFCFPS27,dissociated cell source barcode name,Dissociated Cell Sample,,categorical,Yes,categorical variable,TRUE,,,,analysis,Preparation,Dissociated Cell Sample Cell Label Barcode
dissociated cell sample cell prep type,baae4ac3-f959-4594-b943-3a82ec19bd34,The type of cell preparation. For example: Cells; Nuclei. This is a property of dissociated_cell_sample.,dissociated_cell_sample_cell_prep_type,PD-RELLGO26,cell prep type,Dissociated Cell Sample,cell prep type,categorical,Yes,categorical variable,TRUE,,,,analysis; tracking,Preparation,Cell Prep Type
project identifier,9a55368b-3b12-47f3-a3cb-ee282c6d73ce,NIMP database id of the project the dissociated cell sample is associated with,project_identifier,PD-GXSGXI56,,Dissociated Cell Sample,,integer,,categorical variable,FALSE,,,,,Ownership,The Database ID of the Project the Dissociated Cell Sample is for
tissue NHash IDs,8b10c5a7-a1c8-488f-9a7c-a80fd801db3c,NIMP generated globally unique identifier for upstream tissues,tissue_nhash_ids,PD-YYTNDZ58,,Dissociated Cell Sample,,text,,categorical variable,FALSE,,,,,Reference,Upstream Tissue NHash IDs
patched cell structure,7636b4c8-12f6-4b33-bdc6-c2f1a3b1c953,Ontological structure assigned to a single patched cell.  This is typically assigned and confirmed after imaging.,patched_cell_structure,PD-RCRCEV39,,Dissociated Cell Sample,,categorical,Yes,categorical variable,TRUE,,,,,Reference,Patched Cell Structure
dissociated cell sample project,80976c95-c329-496e-8c5b-f9d48b6cf189,Dissociated Cell Sample Project,dissociated_cell_sample_project,PD-BIBIQB42,,Dissociated Cell Sample,,categorical,Yes,categorical variable,FALSE,,,,,Ownership,Dissociated Cell Sample Project
dissociated cell sample lab,b94f6f31-8ac0-40b5-861f-86c3112bf1b8,Dissociated Cell Sample Lab,dissociated_cell_sample_lab,PD-BGBGRC24,,Dissociated Cell Sample,,categorical,Yes,categorical variable,FALSE,,,,,Ownership,Dissociated Cell Sample Lab
enriched cell sample NHash ID,ba153086-53ce-48e5-a2ed-e355a0ff0cc3,NIMP generated globally unique identifier for an Enriched Cell Sample,enriched_cell_sample_nhash_id,PD-ETSJUU27,,Enriched Cell Sample,,text,,categorical variable,FALSE,,,,,Identification,Enriched Cell Sample NHash ID
enriched cell sample cell label barcode,bdd5e2bf-c6fa-43e6-a5ac-6878fcf814d6,Name of molecular barcode used to individual Enriched Cell Source to allow for pooling of Enriched Cell Sources before 10x load (Barcoding Cell step) [aka 1st round barcodes],enriched_cell_sample_cell_label_barcode,PD-CTCTTK28,enriched cell source barcode name,Enriched Cell Sample,,categorical,Yes,categorical variable,TRUE,,,,alignment,Preparation,Enriched Cell Sample Cell Label Barcode
project identifier,9a55368b-3b12-47f3-a3cb-ee282c6d73ce,NIMP database id for the project his Enriched Cell Sample is associated with,project_identifier,PD-GXLIXI56,,Enriched Cell Sample,,integer,,categorical variable,FALSE,,,,,Ownership,The Database ID of the Project This Enriched Cell Sample is for
enrichment population,875f1c70-f5aa-45e3-94b9-5e482f6c4830,Actual percentage of cells as a result of using set of fluorescent marker label(s) to enrich dissociated_cell_sample with desired mix of cell populations. This plan can also be used to describe 'No FACS' where no enrichment was performed. This is a property of enriched_cell_prep_container.,enrichment_population,PD-TZTZPI37,,Enriched Cell Sample,population,text,,categorical variable,TRUE,,,,analysis,Enrichment Details,Enrichment Population
histone modification marker,a2ef2228-e438-4260-95e5-22eb3b35b5a9,Histone modification marker antibodies (eg H3K27ac; H3K27me3; H3K9me3) used in conjunction with an Enriched Cell Source Barcode in order to combine multiple Enriched Cell Populations before Barcoded Cell Sample step for 10xMultiome method. Each of the Histone antibodies captures an essential part of the epigenome.,histone_modification_marker,PD-ESESLW44,,Enriched Cell Sample,,text,,categorical variable,TRUE,,,,,Enrichment Details,Histone Modification Marker
enriched cell sample project,f59d224e-7732-4409-afb9-a9f502d0173b,Enriched Cell Sample Project,enriched_cell_sample_project,PD-GIGICT43,,Enriched Cell Sample,,categorical,Yes,categorical variable,FALSE,,,,,Ownership,Enriched Cell Sample Project
enriched cell sample lab,210cc89d-3b30-4d24-b870-3fa35fe64c2b,Enriched Cell Sample Lab,enriched_cell_sample_lab,PD-BGBGDF25,,Enriched Cell Sample,,categorical,Yes,categorical variable,FALSE,,,,,Ownership,Enriched Cell Sample Lab
barcoded cell sample NHash ID,b421ecfe-488e-4e87-bf4c-6d30aa5b06bb,NIMP generated globally unique identifier for a Barcoded Cell Sample,barcoded_cell_sample_nhash_id,PD-BWBZRC24,,Barcoded Cell Sample,,text,,categorical variable,FALSE,,,,,Identification,Barcoded Cell Sample NHash ID
barcoded cell sample number of expected cells,f10e928d-5a2b-4943-af18-d8fe5d05528d,"Expected number of cells/nuclei of a barcoded_cell_sample that will be barcoded and available for sequencing. This is a derived number from 'Barcoded cell input quantity count' that is dependent on the ""capture rate"" of the barcoding method. It is usually a calculated fraction of the 'Barcoded cell input quantity count' going into the barcoding method.",barcoded_cell_sample_number_of_expected_cells,PD-ONONEV39,,Barcoded Cell Sample,expected cell capture,integer,,continuous variable,TRUE,0,,,analysis,Preparation,Barcoded Cell Sample Number of Expected Cells
project identifier,9a55368b-3b12-47f3-a3cb-ee282c6d73ce,NIMP database id for the project this Barcoded Cell Sample belongs to,project_identifier,PD-GXHIXI56,,Barcoded Cell Sample,,integer,,categorical variable,FALSE,,,,,Ownership,The Database ID of the Project This Barcoded Cell Sample is for
barcoded cell sample port well,aca38100-d245-4be4-9be3-ba27192779fe,Specific position of the loaded port of the 10x chip. An Enriched or Dissociated Cell Sample is loaded into a port on a chip (creating a Barcoded Cell Sample). Can be left null for non-10x methods.,barcoded_cell_sample_port_well,PD-KJKJZK32,10x chip port well,Barcoded Cell Sample,port well,text,,categorical variable,TRUE,,,,analysis,Preparation,Barcoded Cell Sample Port Well
barcoded cell input quantity count,aa534269-7c9b-4b63-b990-eea8cda56d0e,Number of enriched or dissociated cells/nuclei going into the barcoding process.,barcoded_cell_input_quantity_count,PD-ZZZZWQ40,,Barcoded Cell Sample,input quantity,integer,,continuous variable,TRUE,0,,,analysis,Preparation,Barcoded Cell Input Quantity Count
barcoded cell sample technique,b2366423-b883-4b33-b036-a1e4707c32bd,Required standardized nomenclature to describe the general method used to barcode individual cells. This method (eg Multiome; ATAConly; GEXonly) will be more general than the Library Method (which is specific for alignment) and could be used for general classification of Barcoded Cell Samples.,barcoded_cell_sample_technique,PD-TDTDDF25,,Barcoded Cell Sample,,categorical,Yes,categorical variable,FALSE,,,,,Preparation,Barcoded Cell Sample Technique
barcoded cell sample tag local name,8877f8f0-3939-4062-84c9-414bdcdd04ca,Barcoded Cell Sample tags can be used to group a set of barcoded cell samples so that the tag can be used to obtain all the members of the cohort,barcoded_cell_sample_tag_local_name,PD-FOFEUU27,,Barcoded Cell Sample,study set,text,,categorical variable,TRUE,,,,analysis; tracking,Identification,Barcoded Cell Sample Tag
barcoded cell sample project,b5f4485b-3700-460d-8455-016127783ccb,Barcoded Cell Sample Project,barcoded_cell_sample_project,PD-DZDZWQ40,,Barcoded Cell Sample,,categorical,Yes,categorical variable,FALSE,,,,,Ownership,Barcoded Cell Sample Project
barcoded cell sample lab,f73165f0-8540-4ed0-91fd-ff2ce946ebcb,Barcoded Cell Sample Lab,barcoded_cell_sample_lab,PD-WNWNYW22,,Barcoded Cell Sample,,categorical,Yes,categorical variable,FALSE,,,,,Ownership,Barcoded Cell Sample Lab
bcs alignment job ID,12ef6c0b-7db5-451f-8e84-a9fcd8086a2e,Barcoded Cell Sample Alignment QC Job ID,bcs_alignment_job_id,PD-LKCLRC24,,Barcoded Cell Sample,,text,,categorical variable,TRUE,,,,,Sequencing Outcome,Barcoded Cell Sample Alignment QC Job ID
barcoded cell sample alignment QC status,a0f07acd-df7c-4dce-9bdf-313ce84b4ead,Barcoded Cell Sample alignment QC status,barcoded_cell_sample_alignment_qc_status,PD-BQFOEV39,,Barcoded Cell Sample,,categorical,Yes,categorical variable,TRUE,,,,,Sequencing Outcome,BCS Alignment QC Status
