BICAN Field Name,BICAN UUID,Description,NIMP Variable Name,NHash ID,Aliases,LinkML Class,LinkML Slot Name,Data Type,Permissible Values,Statistical Variable Type,Nullable,Min Value,Max Value,Unit,Subsets,NIMP Resource Subgroup,NIMP Display Name
Name of metadata field,UUID of field in BICAN Ecosystem,A detailed definition for this field ,Name of variable at NIMP,NHash ID for this field,Aliases for this metadata element in other schemas/resources,The LINKML class or data entity (e.g. purple or orange box in the workflow diagram) with which this metadata field is associated ,Slot name for this field in LinkML,Type of values in this field (integer; float; text; date),For fields that have values from a limited set; see Controlled Values table for entries,['categorical'; 'continuous'; 'ordinal'; 'boolean'],Are null values allowed,For measurements if applicable,For measurements if applicable,For measurements if applicable,Data use subset for this field,Resource subgroup at NIMP,Display name at NIMP
Barcoded Cell Sample Number of Reads,ca9b9886-80ff-4ac0-bd88-fd01e0512626,Total number of reads for alignment,bcs_number_of_reads,PD-RERQEV39,,Barcoded Cell Sample,,float,,continuous variable,TRUE,,,,,Barcoded Cell Sample QC - GEX,Barcoded Cell Sample QC Number of Reads
Barcoded Cell Sample Sequencing Saturation,a4c9d931-114e-4282-a8d2-c2ccdf750266,Proportion of unique molecular identifiers (UMIs) observed relative to the total number of possible UMIs.,bcs_sequencing_saturation,PD-VOZIKV34,,Barcoded Cell Sample,,float,,continuous variable,TRUE,0.55,,,,Barcoded Cell Sample QC - GEX,Barcoded Cell Sample QC Sequencing Saturation
Barcoded Cell Sample Fraction of Unique Reads Mapped to Genome,87317bd1-66f5-4b24-9997-7ab87de48035,Fraction of unique reads that map to the genome,bcs_fraction_of_unique_reads_mapped_to_genome,PD-ZOHNQH25,,Barcoded Cell Sample,,float,,continuous variable,TRUE,,,,,Barcoded Cell Sample QC - GEX,Barcoded Cell Sample QC Fraction of Unique Reads Mapped to Genome
Barcoded Cell Sample Fraction of Unique and Multiple Reads Mapped to Genome,f5c20db4-1086-4785-921b-9051f0ac9a53,Fraction of both unique and multiple reads that map to the genome.,bcs_fraction_of_unique_and_multiple_reads_mapped_to_genome,PD-SHHNQH25,,Barcoded Cell Sample,,float,,continuous variable,TRUE,,,,,Barcoded Cell Sample QC - GEX,Barcoded Cell Sample QC Fraction of Unique and Multiple Reads Mapped to Genome
Barcoded Cell Sample Fraction of Reads with Q30 Bases in RNA,76544329-2381-4fb9-ae68-0d6a40acaa7a,Fraction of reads with Q30 bases in RNA,bcs_fraction_of_reads_with_Q30_bases_in_rna,PD-CLMVIP21,,Barcoded Cell Sample,,float,,continuous variable,TRUE,,,,,Barcoded Cell Sample QC - GEX,Barcoded Cell Sample QC Fraction of Reads with Q30 Bases in RNA
Barcoded Cell Sample Fraction of Reads with Q30 Bases in CB and UMI,037625ff-07c3-4d3e-b3c6-ce80981627e8,Fraction of reads with base quality score � Q30 in cell barcode (CB) and unique molecular identifier (UMI).,bcs_fraction_of_reads_with_Q30_bases_in_cb_and_umi,PD-VLIUXP29,,Barcoded Cell Sample,,float,,continuous variable,TRUE,,,,,Barcoded Cell Sample QC - GEX,Barcoded Cell Sample QC Fraction of Reads with Q30 Bases in cb And umi
Barcoded Cell Sample Fraction of Reads with Valid Barcodes,6456cfaa-f438-450b-afc2-7bc22982c65f,Fraction of reads with valid cell barcodes.,bcs_fraction_of_reads_with_valid_barcodes,PD-ENINEV39,,Barcoded Cell Sample,,float,,continuous variable,TRUE,,,,,Barcoded Cell Sample QC - GEX,Barcoded Cell Sample QC Fraction of Reads with Valid Barcodes
Barcoded Cell Sample Reads Mapped Antisense to Gene,bc103f8a-6559-404a-9fc9-bc6e2f415855,Number of reads mapped antisense to gene regions.,bcs_reads_mapped_antisense_to_gene,PD-FDLZQH25,,Barcoded Cell Sample,,float,,continuous variable,TRUE,,,,,Barcoded Cell Sample QC - GEX,Barcoded Cell Sample QC Reads Mapped Antisense to Gene
Barcoded Cell Sample Reads Mapped Confidently Exonic,e67635bd-1ced-4179-8ab3-f740dc6fcbfd,Number of reads mapped confidently to exonic regions.,bcs_reads_mapped_confidently_exonic,PD-IVAPJB23,,Barcoded Cell Sample,,float,,continuous variable,TRUE,,,,,Barcoded Cell Sample QC - GEX,Barcoded Cell Sample QC Reads Mapped Confidently Exonic
Barcoded Cell Sample Reads Mapped Confidently to Genome,e18cf9ae-f8e3-40a7-b4d9-8e46681eb84f,Number of reads mapped confidently to the genome.,bcs_reads_mapped_confidently_to_genome,PD-SNLZQH25,,Barcoded Cell Sample,,float,,continuous variable,TRUE,,,,,Barcoded Cell Sample QC - GEX,Barcoded Cell Sample QC Reads Mapped Confidently to Genome
Barcoded Cell Sample Reads Mapped Confidently to Intronic Regions,28b67ebc-e172-4f01-aa79-652e79e4d6ea,Number of reads mapped confidently to intronic regions.,bcs_reads_mapped_confidently_to_intronic_regions,PD-BAGYEV39,,Barcoded Cell Sample,,float,,continuous variable,TRUE,,,,,Barcoded Cell Sample QC - GEX,Barcoded Cell Sample QC Reads Mapped Confidently to Intronic Regions
