Proposed BICAN Field Name,BICAN UUID,Label,Variable (Short) Name,Definition,Short Description,Human Readable Label,is_required,Permissible Values (incl Null),Description (Permissible Values),Data Type,Version Number,Version Date,Sub Domain Name,Domain Name,Size,Input Restrictions,Min Value,Max Value,Measurement Type
Local Donor ID,,Local Donor ID,subject_id,,,,,,,text,,,General Subject Fields,HMBA_Macaque_Patchseq,,,,,
Repository,,Repository,repository,,,,,,,inclusive_categorical,,,General Subject Fields,HMBA_Macaque_Patchseq,,,,,
Donor Source,,Donor Source,donor_source,,,,,,,inclusive_categorical,,,General Subject Fields,HMBA_Macaque_Patchseq,,,,,
Sex at Birth,,Sex at Birth,sex,,,,,,,exclusive_categorical,,,General Subject Fields,HMBA_Macaque_Patchseq,,,,,
Age Value (Years),,Age Value (Years),age_of_death,,,,,,,numeric,,,General Subject Fields,HMBA_Macaque_Patchseq,,,,,
Date of Death,,Date of Death,year_of_death,,,,,,,date,,,General Subject Fields,HMBA_Macaque_Patchseq,,,,,
Manner of Death,,Manner of Death,manner_of_death,,,,,,,exclusive_categorical,,,General Subject Fields,HMBA_Macaque_Patchseq,,,,,
Medical Records Available,,Medical Records Available,medical_records_available,,,,,,,exclusive_categorical,,,General Subject Fields,HMBA_Macaque_Patchseq,,,,,
Medical Records Reviewed,,Medical Records Reviewed,medical_records_reviewed,,,,,,,exclusive_categorical,,,General Subject Fields,HMBA_Macaque_Patchseq,,,,,
Hemisphere,,Hemisphere,hemisphere,,,,,,,exclusive_categorical,,,General Specimen Data,HMBA_Macaque_Patchseq,,,,,
Post Mortem Interval,,Post Mortem Interval,post_mortem_interval,,,,,,,numeric,,,General Specimen Data,HMBA_Macaque_Patchseq,,,,,
Left Hemisphere Preparation,,Left Hemisphere Preparation,left_hemisphere_preparation,,,,,,,exclusive_categorical,,,General Specimen Data,HMBA_Macaque_Patchseq,,,,,
Left Hemisphere Preparation Specify,,Left Hemisphere Preparation Specify,left_hemisphere_preparation_specify,,,,,,,text,,,General Specimen Data,HMBA_Macaque_Patchseq,,,,,
Right Hemisphere Preparation,,Right Hemisphere Preparation,right_hemisphere_preparation,,,,,,,exclusive_categorical,,,General Specimen Data,HMBA_Macaque_Patchseq,,,,,
Right Hemisphere Preparation Specify,,Right Hemisphere Preparation Specify,right_hemisphere_preparation_specify,,,,,,,text,,,General Specimen Data,HMBA_Macaque_Patchseq,,,,,
Photo 2d Available,,Photo 2d Available,photo_2d_available,,,,,,,exclusive_categorical,,,General Specimen Data,HMBA_Macaque_Patchseq,,,,,
Antemortem MRI Available,,Antemortem MRI Available,antemortem_mri_available,,,,,,,exclusive_categorical,,,General Specimen Data,HMBA_Macaque_Patchseq,,,,,
Non-Brain Tissue Available,,Non-Brain Tissue Available,non_brain_tissue_available,,,,,,,exclusive_categorical,,,Non-Brain Specimen Collected,HMBA_Macaque_Patchseq,,,,,
Tissue Type,,Tissue Type,tissue_type,,,,,,,exclusive_categorical,,,Non-Brain Specimen Collected,HMBA_Macaque_Patchseq,,,,,
Tissue Type Details,,Tissue Type Details,tissue_type_details,,,,,,,text,,,Non-Brain Specimen Collected,HMBA_Macaque_Patchseq,,,,,
Test Name,,Test Name,test_name,,,,,,,exclusive_categorical,,,Infectious Disease Testing,HMBA_Macaque_Patchseq,,,,,
Result,,Result,test_result,,,,,,,exclusive_categorical,,,Infectious Disease Testing,HMBA_Macaque_Patchseq,,,,,
Testing Tissue Source,,Testing Tissue Source,tissue_source,,,,,,,exclusive_categorical,,,Infectious Disease Testing,HMBA_Macaque_Patchseq,,,,,
Species,,Species,species,,,,,,,exclusive_categorical,,,General Subject Fields,HMBA_Macaque_Patchseq,,,,,
Premortem perfusion done,,Premortem perfusion done,perfusion,,,,,,,exclusive_categorical,,,General Specimen Data,HMBA_Macaque_Patchseq,,,,,
Premortem perfusion buffer type,,Premortem perfusion buffer type,perfusate_type,,,,,,,text,,,General Specimen Data,HMBA_Macaque_Patchseq,,,,,
Region of interest,,Region of interest,ROI,,,,,,,exclusive_categorical,,,General Specimen Data,HMBA_Macaque_Patchseq,,,,,
Behavorial Testing,,Behavorial Testing,behavioral_testing,,,,,,,exclusive_categorical,,,General Subject Fields,HMBA_Macaque_Patchseq,,,,,
Behavorial Testing Type,,Behavorial Testing Type,behavioral_testing_type,,,,,,,text,,,General Subject Fields,HMBA_Macaque_Patchseq,,,,,
Non Brain Diagnosis Description,,Non Brain Diagnosis Description,non_brain_diagnosis_description,,,,,,,text,,,Diagnoses,HMBA_Macaque_Patchseq,,,,,
