Proposed BICAN Field Name,BICAN UUID,Aliases,LinkML Class,Definition,nullable,Permissible Values (incl Null),Data Type,Data Example,Min Value,Max Value,Unit,Statistical Variable Type,Subsets,Version Number,Version Date
local donor ID,f8af20f7-e8b8-47b5-8a68-9ec1f913ffdf,subject_id,General Subject Fields,An identifier that uniquely denotes objects only within the scope of a specific object aggregate and that is not registered in an identifier registry. [Allotrope],FALSE,,text,,,,,,,1,8-Jul-24
repository,408682ed-0e27-41e2-b9fa-f05674366d6e,repository,General Subject Fields,"'Repository' trailing modifier (qualifier, 'repository') of 'xref' links of 'Format' concepts. When 'true', the link is pointing to the public source-code repository where the given data format is developed or maintained. [EDAM]",FALSE,,inclusive_categorical,,,,,,,1,8-Jul-24
donor source,0d0cf732-0f76-409d-9a73-7a96d829d3d3,donor_source,General Subject Fields,The origin of the donor/subject in this experiment.,FALSE,,inclusive_categorical,,,,,,,1,8-Jul-24
sex at birth,c819b9d5-2fde-40b2-bf0d-e07b56f96ac9,sex,General Subject Fields,An organismal quality inhering in a bearer by virtue of the bearer's ability to undergo sexual reproduction in order to differentiate the individuals or types involved. [PATO],FALSE,,exclusive_categorical,,,,,,,1,8-Jul-24
age value (years),14eb923a-161d-45e2-889d-81fea7b632b6,age_of_death,General Subject Fields,A time quality inhering in a bearer by virtue of how long the bearer has existed. [PATO],FALSE,,numeric,,,,,,,1,8-Jul-24
date of death,60445046-d9d8-4f00-959e-9a4c42613e5e,year_of_death,General Subject Fields,The year wherein the subject or donor has ceased to exist.,FALSE,,date,,,,,,,1,8-Jul-24
autopsy report,3f787b64-0985-4d0f-9523-54475164b7ad,autopsy_report,General Subject Fields,"A document assembled by an author for the purpose of providing information regarding the cause of death of a subject for the audience. [IAO, modified]",FALSE,,exclusive_categorical,,,,,,,1,8-Jul-24
cause of death,fa970a03-41ea-473b-a8ce-427fec92cdff,cause_of_death,General Subject Fields,The circumstance or condition that results in the death of a living being. [NCIT],FALSE,,text,,,,,,,1,8-Jul-24
cause of death code,61374624-2d3c-477e-95b3-9bd30974b52a,cause_of_death_code,General Subject Fields,The ISO code that denotes the circumstance or condition that results in the death of a living being. [NCIT],FALSE,,text,,,,,,,1,8-Jul-24
manner of death,36eeb35b-5020-4a9e-a74b-6e1104415e0e,manner_of_death,General Subject Fields,"The manner of death is the determination of how the injury or disease leads to death.  There are five manners of death (natural, accident, suicide, homicide, and undetermined).",FALSE,,exclusive_categorical,,,,,,,1,8-Jul-24
