Proposed BICAN Field Name,BICAN UUID,Aliases,LinkML Class,Definition,nullable,Permissible Values (incl Null),Data Type,Data Example,Min Value,Max Value,Unit,Statistical Variable Type,Subsets,Version Number,Version Date
local donor ID,f8af20f7-e8b8-47b5-8a68-9ec1f913ffdf,subject_id,General Subject Fields,An identifier that uniquely denotes objects only within the scope of a specific object aggregate and that is not registered in an identifier registry. [Allotrope],FALSE,,text,,,,,,,1,8-Jul-24
repository,408682ed-0e27-41e2-b9fa-f05674366d6e,repository,General Subject Fields,"'Repository' trailing modifier (qualifier, 'repository') of 'xref' links of 'Format' concepts. When 'true', the link is pointing to the public source-code repository where the given data format is developed or maintained. [EDAM]",FALSE,,inclusive_categorical,,,,,,,1,8-Jul-24
donor source,0d0cf732-0f76-409d-9a73-7a96d829d3d3,donor_source,General Subject Fields,The origin of the donor/subject in this experiment.,FALSE,,inclusive_categorical,,,,,,,1,8-Jul-24
sex at birth,c819b9d5-2fde-40b2-bf0d-e07b56f96ac9,sex,General Subject Fields,An organismal quality inhering in a bearer by virtue of the bearer's ability to undergo sexual reproduction in order to differentiate the individuals or types involved. [PATO],FALSE,,exclusive_categorical,,,,,,,1,8-Jul-24
age value (years),14eb923a-161d-45e2-889d-81fea7b632b6,age_of_death,General Subject Fields,A time quality inhering in a bearer by virtue of how long the bearer has existed. [PATO],FALSE,,numeric,,,,,,,1,8-Jul-24
year of death,60445046-d9d8-4f00-959e-9a4c42613e5e,year_of_death,General Subject Fields,The year wherein the subject or donor has ceased to exist.,FALSE,,date,,,,,,,1,8-Jul-24
hemisphere,68b7a28b-d695-4ec9-800b-6a27ca206081,hemisphere,General Specimen Data,"One of two bilateral, largely symmetrical organ subdivisions within the telencephalon which contain the cerebral cortex and cerebral white matter. [UBERON]",FALSE,,exclusive_categorical,,,,,,,1,8-Jul-24
post mortem interval,6fd5c5ac-b128-4a4a-ae98-09eaeba22f92,post_mortem_interval,General Specimen Data,The length of the temporal interval between the time of death of the subject/donor and the time at which the specimen is made.,FALSE,,numeric,,,,,,,1,8-Jul-24
RIN,cd472c0d-0b64-45c9-a38e-e54d15cea953,rin,General Specimen Data,The RNA integrity number value of a specimen.,FALSE,,numeric,,,,,,,1,8-Jul-24
RIN tissue source,d547ee51-9ec3-489c-8e49-7d8cd94080a8,rin_tissue_source,General Specimen Data,The tissue sample location or identifier that is used for calculating the RNA integrity number.,FALSE,,text,,,,,,,1,8-Jul-24
brain weight measurement,546fc32d-f8a2-4c00-924a-8c4730f11f51,brain_weight,General Specimen Data,The weight of a brain specimen.,FALSE,,numeric,,,,,,,1,8-Jul-24
photo 2d available,611beda8-1ac6-4183-a284-04a30bb474f3,photo_2d_available,General Specimen Data,"The status (available, unavailable) of two-dimensional photos of a subject/donor/specimen.",FALSE,,exclusive_categorical,,,,,,,1,8-Jul-24
scan 3d available,658e8a80-e232-438f-8c1e-d5f38724dc55,scan_3d_available,General Specimen Data,"The status (available, unavailable) of three-dimensional scans of a subject/donor/specimen.",FALSE,,exclusive_categorical,,,,,,,1,8-Jul-24
antemortem MRI available,43a04caa-4f28-47ac-8a9d-74c40f10776f,antemortem_mri_available,General Specimen Data,"The status (available, unavailable) of antemortem MRI images of a subject/donor/specimen.",FALSE,,exclusive_categorical,,,,,,,1,8-Jul-24
