Proposed BICAN Field Name,BICAN UUID,Aliases,LinkML Class,Definition,nullable,Permissible Values (incl Null),Data Type,Data Example,Multivalued,Cardinality,Min Value,Max Value,Unit,Statistical Variable Type,Subsets,Version Number,Version Date
local donor ID,f8af20f7-e8b8-47b5-8a68-9ec1f913ffdf,subject_id,General Subject Fields,An identifier that uniquely denotes objects only within the scope of a specific object aggregate and that is not registered in an identifier registry. [Allotrope],FALSE,,text,,,,,,,,,1,7/8/24
repository,408682ed-0e27-41e2-b9fa-f05674366d6e,repository,General Subject Fields,"'Repository' trailing modifier (qualifier, 'repository') of 'xref' links of 'Format' concepts. When 'true', the link is pointing to the public source-code repository where the given data format is developed or maintained. [EDAM]",FALSE,,inclusive_categorical,,,,,,,,,1,7/8/24
donor source,0d0cf732-0f76-409d-9a73-7a96d829d3d3,donor_source,General Subject Fields,The origin of the donor/subject in this experiment.,FALSE,,inclusive_categorical,,,,,,,,,1,7/8/24
sex at birth,c819b9d5-2fde-40b2-bf0d-e07b56f96ac9,sex,General Subject Fields,An organismal quality inhering in a bearer by virtue of the bearer's ability to undergo sexual reproduction in order to differentiate the individuals or types involved. [PATO],FALSE,,exclusive_categorical,,,,,,,,,1,7/8/24
age value (years),14eb923a-161d-45e2-889d-81fea7b632b6,age_of_death,General Subject Fields,A time quality inhering in a bearer by virtue of how long the bearer has existed. [PATO],FALSE,,numeric,,,,,,,,,1,7/8/24
year of death,60445046-d9d8-4f00-959e-9a4c42613e5e,year_of_death,General Subject Fields,The year wherein the subject or donor has ceased to exist.,FALSE,,date,,,,,,,,,1,7/8/24
manner of death,36eeb35b-5020-4a9e-a74b-6e1104415e0e,manner_of_death,General Subject Fields,"The manner of death is the determination of how the injury or disease leads to death.  There are five manners of death (natural, accident, suicide, homicide, and undetermined).",FALSE,,exclusive_categorical,,,,,,,,,1,7/8/24
medical records available,ee2c9223-f7d1-4c64-a1da-cd7408309955,medical_records_available,General Subject Fields,"The status (available, unavailable) of the medical records of the subject/donor.",FALSE,,exclusive_categorical,,,,,,,,,1,7/8/24
medical records reviewed,6139b159-c36c-4501-9176-fe2741e3d448,medical_records_reviewed,General Subject Fields,"The status (reviewed, not reviewed) of the medical records of the subject/donor.",TRUE,,exclusive_categorical,,,,,,,,,1,7/8/24
hemisphere,68b7a28b-d695-4ec9-800b-6a27ca206081,hemisphere,General Specimen Data,"One of two bilateral, largely symmetrical organ subdivisions within the telencephalon which contain the cerebral cortex and cerebral white matter. [UBERON]",FALSE,,exclusive_categorical,,,,,,,,,1,7/8/24
post mortem interval,6fd5c5ac-b128-4a4a-ae98-09eaeba22f92,post_mortem_interval,General Specimen Data,The length of the temporal interval between the time of death of the subject/donor and the time at which the specimen is made.,FALSE,,numeric,,,,,,,,,1,7/8/24
left hemisphere preparation,57d5378f-a451-4bf5-a472-cc88d0d29586,left_hemisphere_preparation,General Specimen Data,The type of preparation method used for the left hemisphere.,FALSE,,exclusive_categorical,,,,,,,,,1,7/8/24
left hemisphere preparation specify,002e915e-01c3-4570-a1f3-76680dcb2c33,left_hemisphere_preparation_specify,General Specimen Data,Specific details about the type of preparation method used for the left hemisphere.,FALSE,,text,,,,,,,,,1,7/8/24
right hemisphere preparation,477c2600-f979-43c5-9c61-ab61fd771584,right_hemisphere_preparation,General Specimen Data,The type of preparation method used for the right hemisphere.,FALSE,,exclusive_categorical,,,,,,,,,1,7/8/24
