Proposed BICAN Field Name,BICAN UUID,Label,Variable (Short) Name,Definition,Short Description,Human Readable Label,is_required,Permissible Values (incl Null),Description (Permissible Values),Data Type,Version Number,Version Date,Sub Domain Name,Domain Name,Size,Input Restrictions,Min Value,Max Value,Measurement Type
Local Donor ID,,Local Donor ID,subject_id,,,,,,,text,,,General Subject Fields,HMBA_Marmoset_Omics_Spatial_Population,,,,,
Donor Source,,Donor Source,donor_source,,,,,,,inclusive_categorical,,,General Subject Fields,HMBA_Marmoset_Omics_Spatial_Population,,,,,
Sex at Birth,,Sex at Birth,sex,,,,,,,exclusive_categorical,,,General Subject Fields,HMBA_Marmoset_Omics_Spatial_Population,,,,,
Age Value (Years),,Age Value (Years),age_of_death,,,,,,,numeric,,,General Subject Fields,HMBA_Marmoset_Omics_Spatial_Population,,,,,
Date of Death,,Date of Death,year_of_death,,,,,,,date,,,General Subject Fields,HMBA_Marmoset_Omics_Spatial_Population,,,,,
Manner of Death,,Manner of Death,manner_of_death,,,,,,,exclusive_categorical,,,General Subject Fields,HMBA_Marmoset_Omics_Spatial_Population,,,,,
Mating Status,,Mating Status,mating_status,,,,,,,exclusive_categorical,,,General Subject Fields,HMBA_Marmoset_Omics_Spatial_Population,,,,,
Medical Records Available,,Medical Records Available,medical_records_available,,,,,,,exclusive_categorical,,,General Subject Fields,HMBA_Marmoset_Omics_Spatial_Population,,,,,
Hemisphere,,Hemisphere,hemisphere,,,,,,,exclusive_categorical,,,General Specimen Data,HMBA_Marmoset_Omics_Spatial_Population,,,,,
Post Mortem Interval,,Post Mortem Interval,post_mortem_interval,,,,,,,numeric,,,General Specimen Data,HMBA_Marmoset_Omics_Spatial_Population,,,,,
Left Hemisphere Preparation,,Left Hemisphere Preparation,left_hemisphere_preparation,,,,,,,exclusive_categorical,,,General Specimen Data,HMBA_Marmoset_Omics_Spatial_Population,,,,,
Left Hemisphere Preparation Specify,,Left Hemisphere Preparation Specify,left_hemisphere_preparation_specify,,,,,,,text,,,General Specimen Data,HMBA_Marmoset_Omics_Spatial_Population,,,,,
Right Hemisphere Preparation,,Right Hemisphere Preparation,right_hemisphere_preparation,,,,,,,exclusive_categorical,,,General Specimen Data,HMBA_Marmoset_Omics_Spatial_Population,,,,,
Right Hemisphere Preparation Specify,,Right Hemisphere Preparation Specify,right_hemisphere_preparation_specify,,,,,,,text,,,General Specimen Data,HMBA_Marmoset_Omics_Spatial_Population,,,,,
RIN,,RIN,rin,,,,,,,numeric,,,General Specimen Data,HMBA_Marmoset_Omics_Spatial_Population,,,,,
RIN Tissue Source,,RIN Tissue Source,rin_tissue_source,,,,,,,text,,,General Specimen Data,HMBA_Marmoset_Omics_Spatial_Population,,,,,
RIN Testing Organization,,RIN Testing Organization,rin_testing_organization,,,,,,,text,,,General Specimen Data,HMBA_Marmoset_Omics_Spatial_Population,,,,,
RINe,,RINe,rine,,,,,,,numeric,,,General Specimen Data,HMBA_Marmoset_Omics_Spatial_Population,,,,,
RINe Tissue Source,,RINe Tissue Source,rine_tissue_source,,,,,,,text,,,General Specimen Data,HMBA_Marmoset_Omics_Spatial_Population,,,,,
RINe Testing Organization,,RINe Testing Organization,rine_testing_organization,,,,,,,text,,,General Specimen Data,HMBA_Marmoset_Omics_Spatial_Population,,,,,
pH,,pH,ph,,,,,,,numeric,,,General Specimen Data,HMBA_Marmoset_Omics_Spatial_Population,,,,,
Brain Weight Measurement,,Brain Weight Measurement,brain_weight,,,,,,,numeric,,,General Specimen Data,HMBA_Marmoset_Omics_Spatial_Population,,,,,
Brain Tissue Weighed Type,,Brain Tissue Weighed Type,weighed_type,,,,,,,exclusive_categorical,,,General Specimen Data,HMBA_Marmoset_Omics_Spatial_Population,,,,,
Brain Size Anterior-Posterior,,Brain Size Anterior-Posterior,brain_size_anterior_posterior,,,,,,,numeric,,,General Specimen Data,HMBA_Marmoset_Omics_Spatial_Population,,,,,
Brain Size Medial-Lateral,,Brain Size Medial-Lateral,brain_size_medial_lateral,,,,,,,numeric,,,General Specimen Data,HMBA_Marmoset_Omics_Spatial_Population,,,,,
Brain Size Dorsal-Ventral,,Brain Size Dorsal-Ventral,brain_size_dorsal_ventral,,,,,,,numeric,,,General Specimen Data,HMBA_Marmoset_Omics_Spatial_Population,,,,,
Brain Size Unit,,Brain Size Unit,brain_size_unit_type,,,,,,,exclusive_categorical,,,General Specimen Data,HMBA_Marmoset_Omics_Spatial_Population,,,,,
Histological Stains Available,,Histological Stains Available,histological_stains_available,,,,,,,exclusive_categorical,,,General Specimen Data,HMBA_Marmoset_Omics_Spatial_Population,,,,,
Histological Stains Type,,Histological Stains Type,hiatological_stain_type,,,,,,,exclusive_categorical,,,General Specimen Data,HMBA_Marmoset_Omics_Spatial_Population,,,,,
Photo 2d Available,,Photo 2d Available,photo_2d_available,,,,,,,exclusive_categorical,,,General Specimen Data,HMBA_Marmoset_Omics_Spatial_Population,,,,,
Non-Brain Tissue Available,,Non-Brain Tissue Available,non_brain_tissue_available,,,,,,,exclusive_categorical,,,Non-Brain Specimen Collected,HMBA_Marmoset_Omics_Spatial_Population,,,,,
Tissue Type,,Tissue Type,tissue_type,,,,,,,exclusive_categorical,,,Non-Brain Specimen Collected,HMBA_Marmoset_Omics_Spatial_Population,,,,,
Tissue Type Details,,Tissue Type Details,tissue_type_details,,,,,,,text,,,Non-Brain Specimen Collected,HMBA_Marmoset_Omics_Spatial_Population,,,,,
Family History Available,,Family History Available,family_history_available,,,,,,,exclusive_categorical,,,Family History,HMBA_Marmoset_Omics_Spatial_Population,,,,,
Relative Type,,Relative Type,relative_type,,,,,,,exclusive_categorical,,,Family History,HMBA_Marmoset_Omics_Spatial_Population,,,,,
Relative Type Specify,,Relative Type Specify,relative_type_specify,,,,,,,text,,,Family History,HMBA_Marmoset_Omics_Spatial_Population,,,,,
Premortem MRI Available,,Premortem MRI Available,premortem_mri_available,,,,,,,exclusive_categorical,,,General Specimen Data,HMBA_Marmoset_Omics_Spatial_Population,,,,,
Premortem MRI Type,,Premortem MRI Type,premortem_mri_type,,,,,,,exclusive_categorical,,,General Specimen Data,HMBA_Marmoset_Omics_Spatial_Population,,,,,
Species,,Species,species,,,,,,,exclusive_categorical,,,General Subject Fields,HMBA_Marmoset_Omics_Spatial_Population,,,,,
Premortem perfusion done,,Premortem perfusion done,perfusion,,,,,,,exclusive_categorical,,,General Specimen Data,HMBA_Marmoset_Omics_Spatial_Population,,,,,
Premortem perfusion buffer type,,Premortem perfusion buffer type,perfusate_type,,,,,,,text,,,General Specimen Data,HMBA_Marmoset_Omics_Spatial_Population,,,,,
Slab type,,Slab type,slab_type,,,,,,,exclusive_categorical,,,General Specimen Data,HMBA_Marmoset_Omics_Spatial_Population,,,,,
Slab thickness (mm),,Slab thickness (mm),slab_thickness,,,,,,,numeric,,,General Specimen Data,HMBA_Marmoset_Omics_Spatial_Population,,,,,
Freezing method,,Freezing method,freezing_method,,,,,,,text,,,General Specimen Data,HMBA_Marmoset_Omics_Spatial_Population,,,,,
