BICAN Field Name,BICAN UUID,Description,NIMP Variable Name,NHash ID,Aliases,LinkML Class,LinkML Slot Name,Data Type,Permissible Values,Statistical Variable Type,Nullable,Min Value,Max Value,Unit,Subsets,NIMP Resource Subgroup,NIMP Display Name
Name of metadata field,UUID of field in BICAN Ecosystem,A detailed definition for this field ,Name of variable at NIMP,NHash ID for this field,Aliases for this metadata element in other schemas/resources,The LINKML class or data entity (e.g. purple or orange box in the workflow diagram) with which this metadata field is associated ,Slot name for this field in LinkML,Type of values in this field (integer; float; text; date),For fields that have values from a limited set; see Controlled Values table for entries,['categorical'; 'continuous'; 'ordinal'; 'boolean'],Are null values allowed,For measurements if applicable,For measurements if applicable,For measurements if applicable,Data use subset for this field,Resource subgroup at NIMP,Display name at NIMP
slab NHash ID,a5491cf1-ded9-41fa-bb87-ca7d3eee47db,NIMP generated globally unique identifier for a slab,slab_nhash_id,PD-DECRDO36,,Slab,,text,,categorical variable,FALSE,,,,,Identification,NHash Slab ID
slab database ID,4261b6b4-8067-4d52-8537-8f3f1ef55a5a,NIMP database id for the slab,slab_database_id,PD-SHSHTC41,,Slab,,integer,,categorical variable,FALSE,,,,,Identification,Slab Database ID
width,979754ec-5595-4cc5-a76f-0846d64684a3,NIMP approximation for the width of the slab. This is calculated based on the cropped scale and its dimension provided by the user,width,PD-ETETKR49,,Slab,,,,continuous variable,TRUE,,,,,Dimensions,Width
height,5e1d20f9-588a-4ede-a952-079c3fade6c8,NIMP approximation for the height of the slab. This is calculated based on the cropped scale and its dimension provided by the user,height,PD-BNBNLC46,,Slab,,,,continuous variable,TRUE,,,,,Dimensions,Height
pixels per mm,9339a8fb-b198-4205-808d-8722f5a0522a,NIMP approximation for the pixels per millimeter in the slab image. This is calculated based on the cropped scale and its dimension provided by the user,pixels_per_mm,PD-ZGZGDX47,,Slab,,integer,,continuous variable,TRUE,,,,,Dimensions,Pixels Per Mm
slab project,406a7a60-9050-4977-b9c3-7a4cac0db3d3,Slab Project,slab_project,PD-FGFGYJ57,,Slab,,categorical,Yes,categorical variable,FALSE,,,,,Ownership,Slab Project
slab brain subdivision,866c8c63-6ab5-494c-84ad-8811d480b01d,The subdivision of the brain the slab belongs to,slab_brain_subdivision,PD-ACACHB51,,Slab,,categorical,Yes,categorical variable,TRUE,,,,,Anatomical/Biological Properties,Slab Brain Subdivision
slab hemisphere,cf96bacd-ff55-4ad0-b95d-2002b31f6f07,The Hemisphere of the brain the slab belongs to,slab_hemisphere,PD-IBIBQB42,,Slab,,categorical,Yes,categorical variable,TRUE,,,,,Anatomical/Biological Properties,Slab Hemisphere
slab thickness,296b2e77-1cc0-461e-ac19-776cfa5dfa4d,The thickness of the slab in millimeters,slab_thickness,PD-XLXLRY56,,Slab,,,,continuous variable,TRUE,,,,,Dimensions,Slab Thickness
slab visible slab face,d43437ca-247f-4144-8510-c2c8286cf073,The visible face of the slab in the photograph,slab_visible_slab_face,PD-LYLYQB42,,Slab,,categorical,Yes,categorical variable,TRUE,,,,,Orientation and Direction,Slab Visible Slab Face
