Label,Type,Length,Lookup/Notes,Value Required,Notes
Subject ID,alpha,50,,Y,
Perinatal Neurologic Event Type,alpha,8,lkup_perinatal_neurologic_event_type,N,
Perinatal Neurologic Event Type Specify,alpha,NA,"If ""Perinatal Neurologic Event Type"" is coded to ""Other, Specify"", then this field should contain the description.",N,
,,,,,
,,,,,
lkup_perinatal_neurologic_event_type,,,,,
Perinatal Neurologic Event Type - ICD-10 CODES,Label,Description,Requires Value,,
PV001060,Subdural hemorrhage,,False/No,,
PV001054,Subarachnoid hemorrhage,,False/No,,
PV001055,Intraparenchymal hemorrhage,,False/No,,
PV001056,Intraventricular hemorrhage,,False/No,,
PV001057,Hypoxia,,False/No,,
PV001058,"Other, specify",,True/yes,,
PV001059,None,,False/No,,
