Proposed BICAN Field Name,BICAN UUID,Aliases,LinkML Class,Definition,Nullable,Permissible Values,Data Type,Data Example,Min Value,Max Value,Unit,"Statistical Variable Type ",Subsets,Version Number,Version Date
data collection name,f7b04e21-c12d-4b3d-ba0e-b1de6ac92dca,name,DataCollection,"A human-readable, locally unique label that identifies a data collection.",FALSE,,text,,,,,,Projects and Data Collections,1,10/9/24
data collection long form title,62208817-6a7f-4e70-9c4a-d262f43d82cc,title,DataCollection,"A long form title of a data collection. ",FALSE,,text,,,,,,Projects and Data Collections,1,10/9/24
data collection short form title,f5169355-52cf-4720-904f-946c92489faa,short_title,DataCollection,A short form title of a data collection (fewer than 30 characters).,FALSE,,text,,,,,,Projects and Data Collections,1,10/9/24
data collection description,c5188587-2b4f-4889-ae93-224efdb803d2,description,DataCollection,"A description of a data collection that includes a specification of the license of the data collection. ",FALSE,,text,,,,,,Projects and Data Collections,1,10/9/24
data collection archive,39498a35-3cb5-46ce-9e23-dc5e499b85c4,data_archive,DataCollection,"The location (archive) at which the data in a data collection is to be deposited. ",FALSE,,[Organization],,,,,,Projects and Data Collections,1,10/9/24
data collection species,7135fb76-5423-44da-ba52-4c33e8626033,species,DataCollection,The common name of the species of the donor from which data were collected for this data collection.,FALSE,[Species CV],[exclusive_categorical],Arctic ground squirrel,,,,,Projects and Data Collections,1,10/9/24
data collection access control,3880e926-d2fb-4960-bf61-4b5789e6c027,access_control,DataCollection,"The level of access specified for a data collection. ",FALSE,open/controlled,exclusive_categorical,,,,,,Projects and Data Collections,1,10/9/24
data collection completion state,456513f2-0af8-45e1-b8f0-338636ed3f61,completion_state,DataCollection,"A value that specifies whether or not additional data is being generated for a data collection. ",FALSE,in progress/complete,exclusive_categorical,,,,,,Projects and Data Collections,1,10/9/24
data collection modality,480af9eb-0128-4602-9c8f-01416820cee3,modality,DataCollection,"The modality of the data in a data collection. ",FALSE,[Modality CV],[exclusive_categorical],protein quantification,,,,,Projects and Data Collections,1,10/9/24
data collection technique,bee3bda8-c103-448f-8557-effcaca176bf,technique,DataCollection,"The technique that was used to acquire the data in a collection. ",FALSE,[Techniques CV],[exclusive_categorical],10x Chromium 3' v2 sequencing,,,,,Projects and Data Collections,1,10/9/24
data collection license,b184e037-1b45-4ca6-8651-7044b1a74199,license,DataCollection,"A license that is applied to the data in a data collection. ",FALSE,,License,,,,,,Projects and Data Collections,1,10/9/24
data collection web resource,ebdc27a1-37ca-46ec-8914-6d3fae85a3d9,web_resource,DataCollection,A URL or weblink that provides the location of relevant tools or pages to a data collection. Commonly used to link to landing page that allows for downloading data contained in collection.,TRUE,,[WebResource],,,,,,Projects and Data Collections,1,10/9/24
data collection citation,ea4729c6-df21-40db-8141-5af1d44ba75c,citation,DataCollection,"A data citation for a data collection. ",TRUE,,text,,,,,,Projects and Data Collections,1,10/9/24
