Proposed BICAN Field Name,BICAN UUID,Aliases,LinkML Class,Definition,Nullable,Permissible Values,Data Type,Data Example,Min Value,Max Value,Unit,Statistical Variable Type,Subsets,Version Number,Version Date
project name,a0d7797f-aaf1-4d3e-8289-51a94237b9c8,name,Project,"A human readable, locally unique identifier that denotes a project.",FALSE,,text,,,,,,Project,1,10/9/24
project title,34e55bb4-17db-4b7f-bd7d-7272ffe1c9f2,title,Project,A long form project title.,FALSE,,text,,,,,,Project,1,10/9/24
project short title,216cc403-423a-4b43-b935-b9b61dbb8a26,short_title,Project,A short form project title.,FALSE,,text,,,,,,Project,1,10/9/24
project description,c51e8c8d-d62b-4b79-843b-a3a6810fe709,description,Project,A long form project description.,FALSE,,text,,,,,,Project,1,10/9/24
project subprogram,cfd9d928-673a-428a-b5f0-c04e2fdd8ec9,subprogram,Project,A subprogram to which a project belongs. See subprogram controlled vocabulary.,FALSE,[Subprogram CV],exclusive_categorical,,,,,,Project,1,10/9/24
project contact,62381d66-c414-4fe9-8b07-0a00ee855e71,contact,Project,A primary contact for a project. This is typically a person but can also be an institution.,TRUE,,Person | Organization,,,,,,Project,1,10/9/24
project creator,34c891d4-d721-4023-bbf9-06b84f6a93cc,creator,Project,A creator of a project. This is either a person or institution.,FALSE,,[Person | Organization],,,,,,Project,1,10/9/24
project contributor,8a1a747c-c24d-451a-9168-ed14d274a97c,contributor,Project,A contributor to a project. This is often given as a list.,FALSE,,[Person],,,,,,Project,1,10/9/24
project funding source,3f85bc4b-2e03-426e-b376-4607fc9515e3,funding_source,Project,The funding source for a project.,FALSE,,[Grant],,,,,,Project,1,10/9/24
project collections,66093eb6-fdaf-4782-8dba-23f6575254d8,collections,Project,The data collections that are part of a project.,TRUE,[Data Collection CV],[Collection],,,,,,Project,1,10/9/24
project highlighted web resource,2bb2472b-73b7-426b-adb2-739924a0751b,highlighted_web_resource,Project,A link to relevant tools/pages of a project.,TRUE,,[WebResource],,,,,,Project,1,10/9/24
project protocol,3e80809a-de1a-4333-98a9-f19549fda246,protocol,Project,A protocol for a project. ,TRUE,,[WebResource],,,,,,Project,1,10/9/24
project publication,52d1b518-37e0-4b69-b1d8-36d1ff437376,publication,Project,A publication associated with a project.,TRUE,,WebResource,,,,,,Project,1,10/9/24
